rowN,DAU,participantN,age,gender,task,taskOrder,trial,lImage,lValue,rImage,rValue,xBoxPos,yBoxPos,response,RT
1,NS01,17,18,Male,continuous,1,1,7493,5.35,5530,5.38,722,972,26,16.8003188581206
2,NS01,17,18,Male,continuous,1,2,7179,5.06,8040,6.64,714,972,25,7.11695560807129
3,NS01,17,18,Male,continuous,1,3,8250,6.19,1595,6.22,1233,972,79,4.81686871231068
4,NS01,17,18,Male,continuous,1,4,1650,6.65,2382,5.67,480,972,1,3.45025639049709
5,NS01,17,18,Male,continuous,1,5,7340,6.68,7039,5.93,701,972,24,5.58364497014554
6,NS01,17,18,Male,continuous,1,6,8600,6.38,2056,6.34,1366,972,92,6.41680964000989
7,NS01,17,18,Male,continuous,1,7,7489,6.54,7660,6.61,988,972,53,6.96688707097201
8,NS01,17,18,Male,continuous,1,8,4100,6.11,1419,6.54,1132,972,68,3.55022045440273
9,NS01,17,18,Male,continuous,1,9,7096,5.54,2342,6.2,609,972,14,3.83345041621942
10,NS01,17,18,Male,continuous,1,10,2305,5.41,7057,5.35,675,972,21,3.86686802119948
11,NS01,17,18,Male,continuous,1,11,1640,6.27,7495,5.9,659,972,19,6.83352192799794
12,NS01,17,18,Male,continuous,1,12,7014,5.15,7140,5.5,964,972,51,6.21685807564063
13,NS01,17,18,Male,continuous,1,13,7021,5.21,2900,6.62,738,972,28,6.55023637926206
14,NS01,17,18,Male,continuous,1,14,7188,5.5,1900,6.65,1440,972,100,4.55013512109872
15,NS01,17,18,Male,continuous,1,15,2191,5.3,2374,6.29,1316,972,87,8.53347319184104
16,NS01,17,18,Male,continuous,1,16,7320,6.54,8205,6.62,954,972,50,3.98355140397325
17,NS01,17,18,Male,continuous,1,17,2980,5.61,4619,6.46,1254,972,81,2.31694833672373
18,NS01,17,18,Male,continuous,1,18,7240,6.02,7019,5.2,771,972,31,2.55009966570651
19,NS01,17,18,Male,continuous,1,19,8021,6.79,2521,5.78,484,972,1,6.13347030727891
20,NS01,17,18,Male,continuous,1,20,8118,6.14,7450,6.4,976,972,52,5.55028505530208
21,NS01,17,18,Male,continuous,1,21,7460,6.81,7390,6.84,1240,972,79,3.56681748229312
22,NS01,17,18,Male,continuous,1,22,8031,6.76,2635,5.22,480,972,1,3.33355197490891
23,NS01,17,18,Male,continuous,1,23,7451,6.68,5731,5.39,794,972,33,2.66691255080514
24,NS01,17,18,Male,continuous,1,24,5711,6.62,5626,6.71,1297,972,85,6.21686348418007
25,NS01,17,18,Male,continuous,1,25,1560,5.97,7512,5.38,684,972,22,3.20009699149523
26,NS01,17,18,Male,continuous,1,26,2358,6.56,2273,5.41,618,972,15,5.88363060774282
27,NS01,17,18,Male,continuous,1,27,7477,6.12,7248,5.22,663,972,20,2.3669671760872
28,NS01,17,18,Male,continuous,1,28,8211,5.76,7052,5.33,661,972,20,3.88354497397086
29,NS01,17,18,Male,continuous,1,29,2411,5.07,2513,5.8,1220,972,77,4.53350864723325
30,NS01,17,18,Male,continuous,1,30,5215,6.83,2037,6.42,661,972,20,3.50000630982686
31,NS01,17,18,Male,continuous,1,31,1670,5.82,5622,6.33,1358,972,92,2.38352183782263
32,NS01,17,18,Male,continuous,1,32,4645,6.73,2019,6.07,620,972,15,5.08354401245015
33,NS01,17,18,Male,continuous,1,33,7354,5.51,2880,5.18,692,972,23,3.50031248817686
34,NS01,17,18,Male,continuous,1,34,5593,6.47,1850,6.15,1338,972,89,2.71692417893792
35,NS01,17,18,Male,continuous,1,35,5020,6.32,7496,5.92,1275,972,83,2.00026771822013
36,NS01,17,18,Male,continuous,1,36,7503,5.77,7547,5.21,730,972,27,3.60008425160777
37,NS01,17,18,Male,continuous,1,37,8192,5.52,2560,6.34,748,972,29,5.00013851636322
38,NS01,17,18,Male,continuous,1,38,2442,6.17,5764,6.74,1318,972,87,2.68350146600278
39,NS01,17,18,Male,continuous,1,39,2372,5.48,2489,5.66,631,972,17,4.48350392986322
40,NS01,17,18,Male,continuous,1,40,4536,6.01,5870,6.78,1248,972,80,4.18361804808956
41,NS01,17,18,Male,continuous,1,41,7237,5.43,7242,5.28,729,972,27,11.3001193464152
42,NS01,17,18,Male,continuous,1,42,7620,5.78,7482,6.36,1258,972,81,4.78368757676799
43,NS01,17,18,Male,continuous,1,43,8280,6.38,5390,5.59,1198,972,75,3.75019815954147
44,NS01,17,18,Male,continuous,1,44,7351,5.82,5455,5.79,985,972,53,6.86679560807534
45,NS01,17,18,Male,continuous,1,45,7499,6.47,5500,5.42,575,972,11,4.7836791635491
46,NS01,17,18,Male,continuous,1,46,5395,5.34,7506,5.34,960,972,50,4.98352526314557
47,NS01,17,18,Male,continuous,1,47,7100,5.24,7026,5.38,1165,972,72,5.1001395380008
48,NS01,17,18,Male,continuous,1,48,5531,5.15,7461,5.8,1114,972,66,3.21686258271802
49,NS01,17,18,Male,continuous,1,49,5520,5.33,8260,6.18,1013,972,56,6.08348181529436
50,NS01,17,18,Male,continuous,1,50,5740,5.21,1810,6.52,1316,972,87,2.68356426409446
51,NS01,17,18,Male,binary,2,51,7061,5.4,1910,6.71,1440,972,2,5.81688704091357
52,NS01,17,18,Male,binary,2,52,5250,6.08,2435,5.84,480,972,1,10.1669708418776
53,NS01,17,18,Male,binary,2,53,2357,5.41,7820,5.39,1440,972,2,3.55022526188986
54,NS01,17,18,Male,binary,2,54,5510,5.15,8467,6.35,1440,972,2,2.45021192106651
55,NS01,17,18,Male,binary,2,55,2018,5.56,1720,6.79,1440,972,2,1.96679843252059
56,NS01,17,18,Male,binary,2,56,8465,5.96,7017,5.18,480,972,1,2.7335100894561
57,NS01,17,18,Male,binary,2,57,5661,5.96,2152,6.93,1440,972,2,2.60009987599915
58,NS01,17,18,Male,binary,2,58,7510,6.05,7183,5.58,480,972,1,3.13360161241144
59,NS01,17,18,Male,binary,2,59,2107,5.53,2308,5.22,1440,972,2,4.76681832358008
60,NS01,17,18,Male,binary,2,60,8311,5.88,2036,5.8,480,972,1,5.38362700212747
61,NS01,17,18,Male,binary,2,61,5410,6.11,2038,5.09,1440,972,2,2.966826075688
62,NS01,17,18,Male,binary,2,62,2515,6.09,2060,6.49,480,972,1,3.51682027662173
63,NS01,17,18,Male,binary,2,63,7513,5.45,5890,6.67,1440,972,2,4.48355260590324
