rowN,DAU,participantN,age,gender,task,taskOrder,trial,lImage,lValue,rImage,rValue,xBoxPos,yBoxPos,response,RT
1,NS01,52,18,Male,binary,1,1,2579,5.53,7238,6.43,1440,972,2,3.3836551309505
2,NS01,52,18,Male,binary,1,2,7188,5.5,7451,6.68,480,972,1,2.30029112471675
3,NS01,52,18,Male,binary,1,3,5622,6.33,8325,5.63,480,972,1,2.25015902337327
4,NS01,52,18,Male,binary,1,4,7014,5.15,7033,5.4,480,972,1,3.65030601296166
5,NS01,52,18,Male,binary,1,5,2019,6.07,7503,5.77,480,972,1,1.66708481976821
6,NS01,52,18,Male,binary,1,6,8620,6.04,5711,6.62,1440,972,2,1.53352501272457
7,NS01,52,18,Male,binary,1,7,2032,5.58,1605,6.59,480,972,1,3.10022694447252
8,NS01,52,18,Male,binary,1,8,2390,5.4,7660,6.61,1440,972,2,1.85020493509364
9,NS01,52,18,Male,binary,1,9,7710,5.42,2102,5.16,480,972,1,2.88349242681579
10,NS01,52,18,Male,binary,1,10,6250,6.32,8251,6.16,480,972,1,1.80019392288523
11,NS01,52,18,Male,binary,1,11,7460,6.81,5731,5.39,480,972,1,1.23368308962381
12,NS01,52,18,Male,binary,1,12,8031,6.76,2389,6.61,480,972,1,3.5502293031459
13,NS01,52,18,Male,binary,1,13,8161,6.71,4619,6.46,480,972,1,2.38361697134678
14,NS01,52,18,Male,binary,1,14,5740,5.21,2511,6.21,480,972,1,1.16689867904643
15,NS01,52,18,Male,binary,1,15,7495,5.9,2514,5.19,1440,972,2,1.33345632543205
16,NS01,52,18,Male,binary,1,16,7183,5.58,7510,6.05,1440,972,2,2.30023433601309
17,NS01,52,18,Male,binary,1,17,7900,6.5,5410,6.11,480,972,1,1.46679588849656
18,NS01,52,18,Male,binary,1,18,2302,6.43,4625,6.4,480,972,1,2.71679716549988
19,NS01,52,18,Male,binary,1,19,2305,5.41,8179,6.48,1440,972,2,1.60025834350381
20,NS01,52,18,Male,binary,1,20,8600,6.38,7300,5.64,480,972,1,1.93351545780024
21,NS01,52,18,Male,binary,1,21,7493,5.35,7017,5.18,480,972,1,1.95030868714093
22,NS01,52,18,Male,binary,1,22,5533,5.31,7482,6.36,1440,972,2,1.71696843300015
23,NS01,52,18,Male,binary,1,23,1616,5.21,2488,5.73,480,972,1,2.55011332199501
24,NS01,52,18,Male,binary,1,24,2513,5.8,2515,6.09,1440,972,2,1.13343270854966
25,NS01,52,18,Male,binary,1,25,1333,6.11,7505,6.1,1440,972,2,2.26678368945431
26,NS01,52,18,Male,binary,1,26,7182,5.16,7513,5.45,480,972,1,1.416831449038
27,NS01,52,18,Male,binary,1,27,5990,6.54,2384,5.92,480,972,1,1.25029904207622
28,NS01,52,18,Male,binary,1,28,1419,6.54,7052,5.33,480,972,1,2.20019668720488
29,NS01,52,18,Male,binary,1,29,5455,5.79,8280,6.38,480,972,1,1.88353238922718
30,NS01,52,18,Male,binary,1,30,7140,5.5,1903,5.5,480,972,1,2.86683500959771
31,NS01,52,18,Male,binary,1,31,1810,6.52,2273,5.41,1440,972,2,1.35014919802779
32,NS01,52,18,Male,binary,1,32,7233,5.09,7053,5.22,1440,972,2,1.06692472973373
33,NS01,52,18,Male,binary,1,33,5875,6.03,1850,6.15,1440,972,2,1.98358896761783
34,NS01,52,18,Male,binary,1,34,2720,5.43,4536,6.01,1440,972,2,1.81680356549623
35,NS01,52,18,Male,binary,1,35,4645,6.73,7354,5.51,480,972,1,1.61681750726711
36,NS01,52,18,Male,binary,1,36,8193,6.73,5661,5.96,480,972,1,1.55017251445679
37,NS01,52,18,Male,binary,1,37,5800,6.36,2521,5.78,480,972,1,1.56691165931989
38,NS01,52,18,Male,binary,1,38,5900,5.93,4598,6.33,480,972,1,2.28356429908308
39,NS01,52,18,Male,binary,1,39,7820,5.39,5628,6.51,1440,972,2,2.36682704716804
40,NS01,52,18,Male,binary,1,40,7340,6.68,7165,6.09,1440,972,2,2.05015373512288
41,NS01,52,18,Male,binary,1,41,7026,5.38,2342,6.2,480,972,1,1.03352846810594
42,NS01,52,18,Male,binary,1,42,5250,6.08,7490,5.52,480,972,1,2.56696003487741
43,NS01,52,18,Male,binary,1,43,2392,6.15,5626,6.71,1440,972,2,2.03353237421834
44,NS01,52,18,Male,binary,1,44,2025,5.78,8311,5.88,1440,972,2,2.43357269719127
45,NS01,52,18,Male,binary,1,45,2308,5.22,2880,5.18,1440,972,2,1.4168927447754
46,NS01,52,18,Male,binary,1,46,2506,5.67,7190,5.55,1440,972,2,1.76698244988802
47,NS01,52,18,Male,binary,1,47,2489,5.66,7286,6.36,1440,972,2,2.01680224342272
48,NS01,52,18,Male,binary,1,48,2500,6.16,7550,5.27,1440,972,2,0.900258914392907
49,NS01,52,18,Male,binary,1,49,8208,6.79,7179,5.06,480,972,1,2.26681433731574
50,NS01,52,18,Male,binary,1,50,8118,6.14,5635,6.25,1440,972,2,2.35014949849574
51,NS01,52,18,Male,continuous,2,51,1640,6.27,8467,6.35,638,972,17,5.63353291506064
52,NS01,52,18,Male,continuous,2,52,5720,6.31,4600,6.41,719,972,26,4.56687770629651
53,NS01,52,18,Male,continuous,2,53,5870,6.78,7512,5.38,480,972,1,2.45030012376083
54,NS01,52,18,Male,continuous,2,54,7279,6.22,1947,5.85,1358,972,92,4.06692983771791
55,NS01,52,18,Male,continuous,2,55,1660,6.49,7547,5.21,1045,972,59,3.36687211756362
56,NS01,52,18,Male,continuous,2,56,7019,5.2,2038,5.09,939,972,48,3.48348395359062
57,NS01,52,18,Male,continuous,2,57,2900,6.62,1942,6.26,1339,972,90,3.28355678735534
58,NS01,52,18,Male,continuous,2,58,7546,5.4,2575,5.46,756,972,29,6.61686768563231
59,NS01,52,18,Male,continuous,2,59,5020,6.32,5471,5.21,1160,972,71,3.78355513476708
60,NS01,52,18,Male,continuous,2,60,2351,5.49,8206,6.43,1282,972,84,4.86679054015258
61,NS01,52,18,Male,continuous,2,61,5593,6.47,2377,5.19,606,972,14,3.31693772503058
62,NS01,52,18,Male,continuous,2,62,2036,5.8,7830,5.26,1388,972,95,4.35031505709048
63,NS01,52,18,Male,continuous,2,63,1670,5.82,7488,6.19,623,972,16,5.58354774322652
64,NS01,52,18,Male,continuous,2,64,2635,5.22,8021,6.79,1283,972,84,3.26685460020963
65,NS01,52,18,Male,continuous,2,65,2435,5.84,8158,6.53,1440,972,100,2.28355258077499
66,NS01,52,18,Male,continuous,2,66,7095,5.99,7472,6.25,1076,972,62,3.70027465898602
67,NS01,52,18,Male,continuous,2,67,7600,5.9,1640,6.16,669,972,20,2.7001971379068
68,NS01,52,18,Male,continuous,2,68,7042,5.55,7506,5.34,609,972,14,1.56689543397806
69,NS01,52,18,Male,continuous,2,69,1595,6.22,2152,6.93,750,972,29,3.76690913537459
70,NS01,52,18,Male,continuous,2,70,2060,6.49,2056,6.34,1311,972,87,2.25036244108924
71,NS01,52,18,Male,continuous,2,71,2122,5.15,7352,6.2,755,972,29,3.91692234099901
72,NS01,52,18,Male,continuous,2,72,5531,5.15,2594,6.05,1358,972,92,1.61689472787839
73,NS01,52,18,Male,continuous,2,73,2374,6.29,2411,5.07,717,972,25,2.46688422648003
74,NS01,52,18,Male,continuous,2,74,2616,5.97,2560,6.34,781,972,32,3.38353103713598
