rowN,DAU,participantN,age,gender,task,taskOrder,trial,lImage,lValue,rImage,rValue,xBoxPos,yBoxPos,response,RT
1,NS01,43,22,female,continuous,1,1,7238,6.43,5750,6.6,1426,972,99,2.26691469406069
2,NS01,43,22,female,continuous,1,2,4536,6.01,7179,5.06,515,972,5,3.13354418265862
3,NS01,43,22,female,continuous,1,3,7095,5.99,7510,6.05,1332,972,89,3.66693368372034
4,NS01,43,22,female,continuous,1,4,5510,5.15,7493,5.35,1370,972,93,3.76685625278151
5,NS01,43,22,female,continuous,1,5,5740,5.21,7477,6.12,1393,972,95,3.08376453182245
6,NS01,43,22,female,continuous,1,6,1640,6.16,2235,5.64,480,972,1,3.5500814722518
7,NS01,43,22,female,continuous,1,7,8250,6.19,5875,6.03,960,972,50,2.98345285501364
8,NS01,43,22,female,continuous,1,8,2032,5.58,2720,5.43,509,972,4,3.36698208932557
9,NS01,43,22,female,continuous,1,9,8600,6.38,5500,5.42,575,972,11,4.76684844057945
10,NS01,43,22,female,continuous,1,10,2056,6.34,7057,5.35,1382,972,94,3.13362050186242
11,NS01,43,22,female,continuous,1,11,7660,6.61,7506,5.34,583,972,12,3.80013653325113
12,NS01,43,22,female,continuous,1,12,2358,6.56,2102,5.16,1336,972,89,2.81682820397145
13,NS01,43,22,female,continuous,1,13,7080,5.27,7900,6.5,1358,972,92,3.06682226970315
14,NS01,43,22,female,continuous,1,14,7632,5.22,2560,6.34,1340,972,90,4.93346618082796
15,NS01,43,22,female,continuous,1,15,5665,6.15,9156,6.43,558,972,9,4.31678508662662
16,NS01,43,22,female,continuous,1,16,7830,5.26,8192,5.52,513,972,4,3.68357757982267
17,NS01,43,22,female,continuous,1,17,2514,5.19,7354,5.51,545,972,8,3.083513039016
18,NS01,43,22,female,continuous,1,18,8205,6.62,4598,6.33,1377,972,94,3.03344974515676
19,NS01,43,22,female,continuous,1,19,2616,5.97,5800,6.36,1340,972,90,2.3167904950742
20,NS01,43,22,female,continuous,1,20,5628,6.51,7192,5.77,1329,972,89,4.10015092573121
21,NS01,43,22,female,continuous,1,21,5250,6.08,7620,5.78,517,972,5,3.83345767754599
22,NS01,43,22,female,continuous,1,22,7503,5.77,8211,5.76,511,972,4,4.0334233038584
23,NS01,43,22,female,continuous,1,23,2092,6.28,1903,5.5,1367,972,92,2.96682548472472
24,NS01,43,22,female,continuous,1,24,2377,5.19,7195,6.02,1303,972,86,3.06690009125305
25,NS01,43,22,female,continuous,1,25,2900,6.62,2372,5.48,1391,972,95,2.96680745656704
26,NS01,43,22,female,continuous,1,26,2308,5.22,7451,6.68,1377,972,94,2.63356987278439
27,NS01,43,22,female,continuous,1,27,2018,5.56,7205,5.56,480,972,1,2.50023091065941
28,NS01,43,22,female,continuous,1,28,7600,5.9,2010,6.25,480,972,1,2.58352731130799
29,NS01,43,22,female,continuous,1,29,8191,6.07,8021,6.79,1440,972,100,3.26694023395157
30,NS01,43,22,female,continuous,1,30,5626,6.71,2038,5.09,480,972,1,2.23350370944354
31,NS01,43,22,female,continuous,1,31,2593,5.8,7250,6.62,1440,972,100,2.85009826848545
32,NS01,43,22,female,continuous,1,32,7495,5.9,8031,6.76,503,972,3,2.43361055632704
33,NS01,43,22,female,continuous,1,33,7547,5.21,1942,6.26,1440,972,100,2.30011895579628
34,NS01,43,22,female,continuous,1,34,2521,5.78,5020,6.32,480,972,1,2.81686696451197
35,NS01,43,22,female,continuous,1,35,7017,5.18,7140,5.5,555,972,9,2.58338248510336
36,NS01,43,22,female,continuous,1,36,7096,5.54,1595,6.22,1440,972,100,2.06683518988302
37,NS01,43,22,female,continuous,1,37,5301,6.54,7100,5.24,480,972,1,2.53390630826289
38,NS01,43,22,female,continuous,1,38,2362,6.74,2435,5.84,480,972,1,2.6501248299719
39,NS01,43,22,female,continuous,1,39,7233,5.09,2620,5.93,1440,972,100,2.08342620338681
40,NS01,43,22,female,continuous,1,40,8040,6.64,5635,6.25,1356,972,91,2.51689674101999
41,NS01,43,22,female,continuous,1,41,1908,5.28,7710,5.42,480,972,1,2.40025095196233
42,NS01,43,22,female,continuous,1,42,7039,5.93,2392,6.15,1435,972,99,2.71696903393422
43,NS01,43,22,female,continuous,1,43,2500,6.16,2152,6.93,1340,972,90,2.4669160762196
44,NS01,43,22,female,continuous,1,44,2302,6.43,8206,6.43,1356,972,91,3.08372306705769
45,NS01,43,22,female,continuous,1,45,2122,5.15,8320,6.24,1376,972,93,2.81687537765174
46,NS01,43,22,female,continuous,1,46,4600,6.41,7279,6.22,480,972,1,2.81696942454346
47,NS01,43,22,female,continuous,1,47,2594,6.05,8208,6.79,491,972,2,2.40028790968609
48,NS01,43,22,female,continuous,1,48,7052,5.33,5900,5.93,1315,972,87,2.98362562486363
49,NS01,43,22,female,continuous,1,49,5720,6.31,7512,5.38,1371,972,93,3.46697046116333
50,NS01,43,22,female,continuous,1,50,7237,5.43,5990,6.54,1357,972,91,3.06691060767753
51,NS01,43,22,female,binary,2,51,8118,6.14,2389,6.61,1440,972,2,3.05010115299137
52,NS01,43,22,female,binary,2,52,1850,6.15,8161,6.71,480,972,1,2.50017682618454
53,NS01,43,22,female,binary,2,53,7183,5.58,4617,6.6,1440,972,2,2.41687411568182
54,NS01,43,22,female,binary,2,54,7242,5.28,1650,6.65,1440,972,2,2.76682530444305
55,NS01,43,22,female,binary,2,55,7507,6.25,8312,5.37,480,972,1,3.08351994980967
56,NS01,43,22,female,binary,2,56,2597,5.61,1659,6.57,1440,972,2,3.31684638236402
57,NS01,43,22,female,binary,2,57,8260,6.18,1947,5.85,1440,972,2,2.25023293882714
58,NS01,43,22,female,binary,2,58,2191,5.3,2579,5.53,1440,972,2,2.8167882415546
59,NS01,43,22,female,binary,2,59,7190,5.55,1605,6.59,1440,972,2,2.93358877230366
60,NS01,43,22,female,binary,2,60,2384,5.92,1616,5.21,1440,972,2,2.98342310855332
61,NS01,43,22,female,binary,2,61,7546,5.4,7291,6.35,480,972,1,2.70011571072791
62,NS01,43,22,female,binary,2,62,7240,6.02,2605,6.26,480,972,1,3.00020642241179
63,NS01,43,22,female,binary,2,63,8465,5.96,1720,6.79,1440,972,2,2.41685037860589
64,NS01,43,22,female,binary,2,64,5533,5.31,7026,5.38,480,972,1,2.53350638362099
65,NS01,43,22,female,binary,2,65,4613,5.34,5890,6.67,1440,972,2,2.3001532092976
66,NS01,43,22,female,binary,2,66,2217,6.24,8280,6.38,480,972,1,2.16687434103369
67,NS01,43,22,female,binary,2,67,7390,6.84,1640,6.27,480,972,1,1.61690674664715
68,NS01,43,22,female,binary,2,68,4619,6.46,5870,6.78,1440,972,2,2.18352003995005
69,NS01,43,22,female,binary,2,69,8130,6.58,7440,6.32,1440,972,2,1.63353501834536
70,NS01,43,22,female,binary,2,70,2351,5.49,2305,5.41,1440,972,2,2.96686214197962
71,NS01,43,22,female,binary,2,71,2506,5.67,7053,5.22,1440,972,2,2.05018288064184
72,NS01,43,22,female,binary,2,72,2575,5.46,7042,5.55,1440,972,2,2.01694496634263
73,NS01,43,22,female,binary,2,73,7550,5.27,5530,5.38,1440,972,2,1.70022147592317
74,NS01,43,22,female,binary,2,74,7501,6.85,2382,5.67,1440,972,2,2.18338422782563
75,NS01,43,22,female,binary,2,75,8467,6.35,8341,6.25,480,972,1,1.35002119810906
76,NS01,43,22,female,binary,2,76,2606,5.92,2635,5.22,480,972,1,2.4002497500851
77,NS01,43,22,female,binary,2,77,7061,5.4,7497,5.19,1440,972,2,2.01699574565464
78,NS01,43,22,female,binary,2,78,7499,6.47,4625,6.4,1440,972,2,2.15008531825879
79,NS01,43,22,female,binary,2,79,1419,6.54,2374,6.29,480,972,1,2.55026866462686
80,NS01,43,22,female,binary,2,80,5040,5.39,7352,6.2,480,972,1,2.54999283380675
81,NS01,43,22,female,binary,2,81,7490,5.52,2273,5.41,1440,972,2,2.25027830969157
82,NS01,43,22,female,binary,2,82,7500,5.33,1560,5.97,1440,972,2,2.06694065460852
83,NS01,43,22,female,binary,2,83,8311,5.88,7351,5.82,1440,972,2,2.68347752354384
84,NS01,43,22,female,binary,2,84,2390,5.4,2342,6.2,1440,972,2,3.16682746782226
85,NS01,43,22,female,binary,2,85,7248,5.22,2870,5.31,1440,972,2,2.41689905463318
86,NS01,43,22,female,binary,2,86,2511,6.21,8158,6.53,1440,972,2,3.16694344897223
87,NS01,43,22,female,binary,2,87,2060,6.49,5764,6.74,480,972,1,2.56690534946574
88,NS01,43,22,female,binary,2,88,7320,6.54,8325,5.63,480,972,1,2.58342575268307
89,NS01,43,22,female,binary,2,89,2025,5.78,1333,6.11,1440,972,2,2.91685233165663
90,NS01,43,22,female,binary,2,90,6250,6.32,8179,6.48,1440,972,2,3.01685001804344
91,NS01,43,22,female,binary,2,91,1675,5.24,2980,5.61,1440,972,2,3.11677619273541
92,NS01,43,22,female,binary,2,92,8251,6.16,7340,6.68,1440,972,2,2.6167919673735
93,NS01,43,22,female,binary,2,93,7001,5.32,7515,6.19,1440,972,2,2.85028966743175
94,NS01,43,22,female,binary,2,94,2020,5.68,5531,5.15,1440,972,2,2.48361135257164
95,NS01,43,22,female,binary,2,95,7033,5.4,5622,6.33,1440,972,2,2.10012448443194
96,NS01,43,22,female,binary,2,96,2357,5.41,5215,6.83,1440,972,2,2.65027266086872
97,NS01,43,22,female,binary,2,97,7165,6.09,1810,6.52,1440,972,2,2.83364036288276
98,NS01,43,22,female,binary,2,98,2339,6.72,1450,6.37,480,972,1,2.50011492950853
99,NS01,43,22,female,binary,2,99,8620,6.04,5726,6.23,480,972,1,2.26684949222181
100,NS01,43,22,female,binary,2,100,5520,5.33,7014,5.15,480,972,1,2.66699077288831
101,NS01,43,22,female,likert,3,101,NA,NA,8312,5.37,480,450.9,5,4.06693344334508
102,NS01,43,22,female,likert,3,102,NA,NA,2025,5.78,480,450.9,5,2.933551814579
103,NS01,43,22,female,likert,3,103,NA,NA,2593,5.8,480,361.8,6,2.583447987412
104,NS01,43,22,female,likert,3,104,NA,NA,2372,5.48,480,450.9,5,2.30025596979976
105,NS01,43,22,female,likert,3,105,NA,NA,5020,6.32,480,270,7,1.93363985208543
106,NS01,43,22,female,likert,3,106,NA,NA,2390,5.4,480,361.8,6,2.38357099954374
107,NS01,43,22,female,likert,3,107,NA,NA,1650,6.65,480,270,7,2.18341397428594
108,NS01,43,22,female,likert,3,108,NA,NA,8600,6.38,480,450.9,5,2.61678535704959
109,NS01,43,22,female,likert,3,109,NA,NA,7510,6.05,480,270,7,2.2334904887939
110,NS01,43,22,female,likert,3,110,NA,NA,2635,5.22,480,718.2,2,1.90028355288177
111,NS01,43,22,female,likert,3,111,NA,NA,7632,5.22,480,718.2,2,2.26680652511186
112,NS01,43,22,female,likert,3,112,NA,NA,7250,6.62,480,361.8,6,1.46676554109854
113,NS01,43,22,female,likert,3,113,NA,NA,2060,6.49,480,270,7,2.05009153797255
114,NS01,43,22,female,likert,3,114,NA,NA,7279,6.22,480,450.9,5,2.71678484625136
115,NS01,43,22,female,likert,3,115,NA,NA,2616,5.97,480,361.8,6,2.58347923621932
116,NS01,43,22,female,likert,3,116,NA,NA,2392,6.15,480,450.9,5,1.78348722870305
117,NS01,43,22,female,likert,3,117,NA,NA,5890,6.67,480,361.8,6,1.80013773512837
118,NS01,43,22,female,likert,3,118,NA,NA,2018,5.56,480,361.8,6,2.23369570932755
119,NS01,43,22,female,likert,3,119,NA,NA,5726,6.23,480,361.8,6,1.66691775884829
120,NS01,43,22,female,likert,3,120,NA,NA,7351,5.82,480,540,4,1.36698659636477
121,NS01,43,22,female,likert,3,121,NA,NA,5990,6.54,480,540,4,1.48353112726727
122,NS01,43,22,female,likert,3,122,NA,NA,2606,5.92,480,540,4,1.88352067093638
123,NS01,43,22,female,likert,3,123,NA,NA,5750,6.6,480,361.8,6,1.53349706907284
124,NS01,43,22,female,likert,3,124,NA,NA,7233,5.09,480,540,4,2.11689577951802
125,NS01,43,22,female,likert,3,125,NA,NA,7195,6.02,480,718.2,2,2.50008398117097
126,NS01,43,22,female,likert,3,126,NA,NA,7238,6.43,480,629.1,3,2.30017544402563
