rowN,DAU,participantN,age,gender,task,taskOrder,trial,lImage,lValue,rImage,rValue,xBoxPos,yBoxPos,response,RT
1,NS01,51,18,female,continuous,1,1,2616,5.97,5950,5.99,1260,972,81,3.70033745707769
2,NS01,51,18,female,continuous,1,2,8325,5.63,2362,6.74,684,972,22,2.51763018658676
3,NS01,51,18,female,continuous,1,3,2594,6.05,2511,6.21,771,972,31,2.11690689688839
4,NS01,51,18,female,continuous,1,4,5875,6.03,2010,6.25,530,972,6,2.35022341394506
5,NS01,51,18,female,continuous,1,5,2880,5.18,7509,6.03,673,972,21,2.68366892248741
6,NS01,51,18,female,continuous,1,6,8161,6.71,7547,5.21,1004,972,55,5.73350085498532
7,NS01,51,18,female,continuous,1,7,2092,6.28,2560,6.34,787,972,33,3.83359078544891
8,NS01,51,18,female,continuous,1,8,2025,5.78,7820,5.39,1114,972,66,3.3002406458545
9,NS01,51,18,female,continuous,1,9,7080,5.27,7237,5.43,967,972,51,3.35021289752331
10,NS01,51,18,female,continuous,1,10,2514,5.19,5593,6.47,646,972,18,12.6669096461846
11,NS01,51,18,female,continuous,1,11,8117,6.02,8205,6.62,679,972,22,3.20035323170305
12,NS01,51,18,female,continuous,1,12,2382,5.67,2390,5.4,1129,972,68,2.78352929440734
13,NS01,51,18,female,continuous,1,13,2488,5.73,5250,6.08,1118,972,67,2.21679671478341
14,NS01,51,18,female,continuous,1,14,7183,5.58,5510,5.15,1360,972,92,1.86693807056872
15,NS01,51,18,female,continuous,1,15,7042,5.55,8130,6.58,1250,972,80,2.23352323994914
16,NS01,51,18,female,continuous,1,16,5530,5.38,2870,5.31,1243,972,80,2.66701060386549
17,NS01,51,18,female,continuous,1,17,2575,5.46,2339,6.72,712,972,25,3.66689462271461
18,NS01,51,18,female,continuous,1,18,2374,6.29,7179,5.06,987,972,53,3.7501627792517
19,NS01,51,18,female,continuous,1,19,5764,6.74,5520,5.33,558,972,9,1.95017077172815
20,NS01,51,18,female,continuous,1,20,7100,5.24,8311,5.88,1135,972,69,3.16676376832766
21,NS01,51,18,female,continuous,1,21,5711,6.62,7503,5.77,957,972,50,3.2503471171658
22,NS01,51,18,female,continuous,1,22,2019,6.07,1650,6.65,1084,972,63,4.63352810754441
23,NS01,51,18,female,continuous,1,23,2372,5.48,2018,5.56,747,972,29,3.03368711589428
24,NS01,51,18,female,continuous,1,24,2442,6.17,7493,5.35,1183,972,73,2.05020000739023
25,NS01,51,18,female,continuous,1,25,5215,6.83,7250,6.62,723,972,26,2.26685490066302
26,NS01,51,18,female,continuous,1,26,7195,6.02,7242,5.28,1174,972,73,2.75023999984842
27,NS01,51,18,female,continuous,1,27,2597,5.61,2620,5.93,690,972,23,3.0501552374626
28,NS01,51,18,female,continuous,1,28,2060,6.49,7451,6.68,1110,972,66,2.58369196848071
29,NS01,51,18,female,continuous,1,29,8250,6.19,1947,5.85,1373,972,93,2.20024265900429
30,NS01,51,18,female,continuous,1,30,2389,6.61,2038,5.09,1161,972,71,3.11696188276983
31,NS01,51,18,female,continuous,1,31,7500,5.33,5390,5.59,661,972,20,4.93354219956382
32,NS01,51,18,female,continuous,1,32,2605,6.26,1850,6.15,1171,972,72,2.06697190341947
33,NS01,51,18,female,continuous,1,33,8251,6.16,7515,6.19,1157,972,71,2.16699272593542
34,NS01,51,18,female,continuous,1,34,2489,5.66,2107,5.53,729,972,27,5.35032407115796
35,NS01,51,18,female,continuous,1,35,2273,5.41,2122,5.15,861,972,40,7.60022559235222
36,NS01,51,18,female,continuous,1,36,5020,6.32,2308,5.22,838,972,38,3.33347555546788
37,NS01,51,18,female,continuous,1,37,6250,6.32,7061,5.4,1201,972,75,2.21686161616526
38,NS01,51,18,female,continuous,1,38,5900,5.93,7021,5.21,742,972,28,1.86685514103738
39,NS01,51,18,female,continuous,1,39,5500,5.42,5720,6.31,1191,972,74,4.73359460140637
40,NS01,51,18,female,continuous,1,40,8600,6.38,7205,5.56,753,972,29,1.83355653194303
41,NS01,51,18,female,continuous,1,41,1640,6.27,7233,5.09,769,972,31,2.01690500392579
42,NS01,51,18,female,continuous,1,42,2217,6.24,2152,6.93,1091,972,64,3.66687899830868
43,NS01,51,18,female,continuous,1,43,1659,6.57,5533,5.31,728,972,27,1.96692133443139
44,NS01,51,18,female,continuous,1,44,7472,6.25,7192,5.77,759,972,30,1.95031770122296
45,NS01,51,18,female,continuous,1,45,7340,6.68,2342,6.2,860,972,40,2.45019736327231
46,NS01,51,18,female,continuous,1,46,1605,6.59,4625,6.4,1157,972,71,4.06692052315339
47,NS01,51,18,female,continuous,1,47,7057,5.35,5800,6.36,1218,972,77,3.30020218578284
48,NS01,51,18,female,continuous,1,48,7620,5.78,7351,5.82,733,972,27,1.70018932569656
49,NS01,51,18,female,continuous,1,49,1616,5.21,7440,6.32,654,972,19,3.00020101395785
50,NS01,51,18,female,continuous,1,50,7496,5.92,8192,5.52,590,972,12,2.18359786149813
51,NS01,51,18,female,binary,2,51,5731,5.39,7033,5.4,480,972,1,2.60030161109171
52,NS01,51,18,female,binary,2,52,2500,6.16,5726,6.23,480,972,1,2.70022988907294
53,NS01,51,18,female,binary,2,53,5990,6.54,8467,6.35,1440,972,2,1.95025279985566
54,NS01,51,18,female,binary,2,54,8031,6.76,8193,6.73,1440,972,2,1.88358497136505
55,NS01,51,18,female,binary,2,55,1450,6.37,1333,6.11,1440,972,2,3.55030291812727
56,NS01,51,18,female,binary,2,56,5395,5.34,7482,6.36,480,972,1,1.50023661958403
57,NS01,51,18,female,binary,2,57,7019,5.2,8208,6.79,480,972,1,2.38351030474587
58,NS01,51,18,female,binary,2,58,8040,6.64,2037,6.42,480,972,1,2.53367554783472
59,NS01,51,18,female,binary,2,59,1720,6.79,2358,6.56,480,972,1,2.65034357161494
60,NS01,51,18,female,binary,2,60,7489,6.54,7510,6.05,1440,972,2,5.18364473470137
61,NS01,51,18,female,binary,2,61,7053,5.22,8211,5.76,1440,972,2,1.31692390344688
62,NS01,51,18,female,binary,2,62,5040,5.39,2593,5.8,1440,972,2,1.46682984153449
63,NS01,51,18,female,binary,2,63,7352,6.2,1900,6.65,480,972,1,2.68349344842136
