rowN,DAU,participantN,age,gender,task,taskOrder,trial,lImage,lValue,rImage,rValue,xBoxPos,yBoxPos,response,RT
1,NS01,4,21,Male,binary,1,1,7140,5.5,2511,6.21,1440,972,2,4.78353811337729
2,NS01,4,21,Male,binary,1,2,2392,6.15,2362,6.74,480,972,1,5.28351167205255
3,NS01,4,21,Male,binary,1,3,8118,6.14,7489,6.54,1440,972,2,4.05017901977408
4,NS01,4,21,Male,binary,1,4,4619,6.46,7080,5.27,480,972,1,4.18350458095665
5,NS01,4,21,Male,binary,1,5,7632,5.22,8179,6.48,480,972,1,3.76702130088233
6,NS01,4,21,Male,binary,1,6,2880,5.18,5875,6.03,480,972,1,4.5835410579748
7,NS01,4,21,Male,binary,1,7,7493,5.35,8191,6.07,1440,972,2,7.30029650338111
8,NS01,4,21,Male,binary,1,8,2575,5.46,7512,5.38,1440,972,2,5.5668064050551
9,NS01,4,21,Male,binary,1,9,2377,5.19,5300,6.91,1440,972,2,7.26687016471988
10,NS01,4,21,Male,binary,1,10,7660,6.61,7530,6.71,1440,972,2,5.75018358693342
11,NS01,4,21,Male,binary,1,11,5510,5.15,2980,5.61,1440,972,2,3.38352807768388
12,NS01,4,21,Male,binary,1,12,5395,5.34,5900,5.93,480,972,1,5.61687034496572
13,NS01,4,21,Male,binary,1,13,2411,5.07,2521,5.78,1440,972,2,4.08359273872338
14,NS01,4,21,Male,binary,1,14,5533,5.31,7286,6.36,1440,972,2,3.53351738097263
15,NS01,4,21,Male,binary,1,15,1450,6.37,5711,6.62,480,972,1,5.26692785485648
16,NS01,4,21,Male,binary,1,16,5849,6.65,2107,5.53,1440,972,2,5.83355397815467
17,NS01,4,21,Male,binary,1,17,2036,5.8,2060,6.49,480,972,1,5.96683567078435
18,NS01,4,21,Male,binary,1,18,5520,5.33,5720,6.31,1440,972,2,4.78357777534984
19,NS01,4,21,Male,binary,1,19,2018,5.56,2122,5.15,480,972,1,6.16678435058566
20,NS01,4,21,Male,binary,1,20,5764,6.74,1616,5.21,480,972,1,7.11681986608892
21,NS01,4,21,Male,binary,1,21,5500,5.42,2358,6.56,1440,972,2,6.53352909925161
22,NS01,4,21,Male,binary,1,22,7500,5.33,5890,6.67,1440,972,2,4.08359484202811
23,NS01,4,21,Male,binary,1,23,1810,6.52,7340,6.68,480,972,1,4.76682088768575
24,NS01,4,21,Male,binary,1,24,7482,6.36,2010,6.25,480,972,1,5.68345259974012
25,NS01,4,21,Male,binary,1,25,5593,6.47,7503,5.77,1440,972,2,7.15026843952364
26,NS01,4,21,Male,binary,1,26,8250,6.19,2389,6.61,1440,972,2,4.93353282508906
27,NS01,4,21,Male,binary,1,27,5661,5.96,7354,5.51,480,972,1,4.06678266794188
28,NS01,4,21,Male,binary,1,28,7019,5.2,5020,6.32,1440,972,2,3.76686024919036
29,NS01,4,21,Male,binary,1,29,7057,5.35,7248,5.22,480,972,1,5.95016922446666
30,NS01,4,21,Male,binary,1,30,8260,6.18,5990,6.54,1440,972,2,4.35021381414845
31,NS01,4,21,Male,binary,1,31,1560,5.97,4613,5.34,480,972,1,7.13358005890041
32,NS01,4,21,Male,binary,1,32,5635,6.25,8465,5.96,480,972,1,6.75022535218159
33,NS01,4,21,Male,binary,1,33,7501,6.85,7300,5.64,480,972,1,4.98350361944176
34,NS01,4,21,Male,binary,1,34,7291,6.35,7179,5.06,480,972,1,4.70014188173809
35,NS01,4,21,Male,binary,1,35,7052,5.33,8280,6.38,1440,972,2,4.2168287599925
36,NS01,4,21,Male,binary,1,36,1660,6.49,7042,5.55,480,972,1,4.15023027986172
37,NS01,4,21,Male,binary,1,37,7820,5.39,2500,6.16,1440,972,2,2.98355319691473
38,NS01,4,21,Male,binary,1,38,1850,6.15,7190,5.55,480,972,1,3.70031585360994
39,NS01,4,21,Male,binary,1,39,2308,5.22,2616,5.97,480,972,1,3.56679558815085
40,NS01,4,21,Male,binary,1,40,7053,5.22,2445,5.39,480,972,1,5.38353588987957
41,NS01,4,21,Male,binary,1,41,5622,6.33,8325,5.63,480,972,1,4.00021483574528
42,NS01,4,21,Male,binary,1,42,1947,5.85,7900,6.5,480,972,1,7.10024866863387
43,NS01,4,21,Male,binary,1,43,2597,5.61,7026,5.38,1440,972,2,4.73354929083143
44,NS01,4,21,Male,binary,1,44,7033,5.4,5750,6.6,480,972,1,5.21688014027313
45,NS01,4,21,Male,binary,1,45,7461,5.8,7546,5.4,480,972,1,2.66689221916022
46,NS01,4,21,Male,binary,1,46,1942,6.26,2191,5.3,480,972,1,6.35012757938239
47,NS01,4,21,Male,binary,1,47,5665,6.15,1595,6.22,1440,972,2,4.21683176467195
48,NS01,4,21,Male,binary,1,48,2620,5.93,7061,5.4,1440,972,2,3.56686229238403
49,NS01,4,21,Male,binary,1,49,5301,6.54,8251,6.16,1440,972,2,5.30016189298476
50,NS01,4,21,Male,binary,1,50,1910,6.71,7352,6.2,480,972,1,4.33353805326624
51,NS01,4,21,Male,continuous,1,51,8620,6.04,5726,6.23,1219,972,77,4.53358949365793
52,NS01,4,21,Male,continuous,1,52,2032,5.58,7250,6.62,665,972,20,4.48350031429436
53,NS01,4,21,Male,continuous,1,53,7475,6.33,8158,6.53,1440,972,100,5.91687298909528
54,NS01,4,21,Male,continuous,1,54,7510,6.05,2217,6.24,605,972,14,2.45013286764151
55,NS01,4,21,Male,continuous,1,55,7830,5.26,7182,5.16,1182,972,73,3.80013875683653
56,NS01,4,21,Male,continuous,1,56,1640,6.16,8206,6.43,480,972,1,3.83355367768672
57,NS01,4,21,Male,continuous,1,57,2514,5.19,7188,5.5,1110,972,66,5.51684162009042
58,NS01,4,21,Male,continuous,1,58,7205,5.56,2605,6.26,1093,972,64,6.31681722195935
59,NS01,4,21,Male,continuous,1,59,4100,6.11,5731,5.39,1073,972,62,2.56678687452222
60,NS01,4,21,Male,continuous,1,60,5740,5.21,7440,6.32,1440,972,100,3.43348775466438
61,NS01,4,21,Male,continuous,1,61,8311,5.88,7505,6.1,1216,972,77,3.88345927014598
62,NS01,4,21,Male,continuous,1,62,2593,5.8,5800,6.36,1237,972,79,4.93349196124473
63,NS01,4,21,Male,continuous,1,63,7240,6.02,5531,5.15,645,972,18,2.51695760135772
64,NS01,4,21,Male,continuous,1,64,5455,5.79,2235,5.64,480,972,1,2.76682269052253
65,NS01,4,21,Male,continuous,1,65,2273,5.41,8117,6.02,1440,972,100,4.86696469242452
66,NS01,4,21,Male,continuous,1,66,8040,6.64,7237,5.43,1019,972,57,4.33358252275502
67,NS01,4,21,Male,continuous,1,67,7183,5.58,2038,5.09,816,972,36,3.95014248267398
68,NS01,4,21,Male,continuous,1,68,5410,6.11,8467,6.35,645,972,18,6.5836170767725
69,NS01,4,21,Male,continuous,1,69,2152,6.93,5628,6.51,1290,972,85,4.28353991618496
