rowN,DAU,participantN,age,gender,task,taskOrder,trial,lImage,lValue,rImage,rValue,xBoxPos,yBoxPos,response,RT
1,NS01,42,21,female,binary,1,1,5520,5.33,7500,5.33,1440,972,2,3.81700427898295
2,NS01,42,21,female,binary,1,2,7039,5.93,1900,6.65,480,972,1,2.56686538704798
3,NS01,42,21,female,binary,1,3,5510,5.15,2036,5.8,1440,972,2,2.70013914733454
4,NS01,42,21,female,binary,1,4,7710,5.42,2488,5.73,1440,972,2,2.7003248373635
5,NS01,42,21,female,binary,1,5,8251,6.16,7512,5.38,1440,972,2,2.90029226649131
6,NS01,42,21,female,binary,1,6,2037,6.42,7460,6.81,480,972,1,2.11688376074608
7,NS01,42,21,female,binary,1,7,2900,6.62,5530,5.38,1440,972,2,1.98359497699448
8,NS01,42,21,female,binary,1,8,7507,6.25,2302,6.43,480,972,1,3.35025586463507
9,NS01,42,21,female,binary,1,9,2357,5.41,7188,5.5,480,972,1,2.10006499151041
10,NS01,42,21,female,binary,1,10,7490,5.52,2579,5.53,1440,972,2,3.4167419091882
11,NS01,42,21,female,binary,1,11,7042,5.55,8600,6.38,480,972,1,2.61679917863694
12,NS01,42,21,female,binary,1,12,5870,6.78,7632,5.22,480,972,1,1.86682569505319
13,NS01,42,21,female,binary,1,13,2092,6.28,4598,6.33,1440,972,2,2.50012815015771
14,NS01,42,21,female,binary,1,14,2056,6.34,7019,5.2,480,972,1,2.15012467973702
15,NS01,42,21,female,binary,1,15,1942,6.26,7550,5.27,480,972,1,2.400205581097
16,NS01,42,21,female,binary,1,16,8280,6.38,8211,5.76,480,972,1,2.73358108028924
17,NS01,42,21,female,binary,1,17,1947,5.85,7505,6.1,1440,972,2,2.41678818146056
18,NS01,42,21,female,binary,1,18,2445,5.39,4617,6.6,1440,972,2,2.76685174574186
19,NS01,42,21,female,binary,1,19,1640,6.27,5740,5.21,1440,972,2,1.58350778080285
20,NS01,42,21,female,binary,1,20,1903,5.5,5849,6.65,1440,972,2,1.6669964818052
21,NS01,42,21,female,binary,1,21,7489,6.54,2489,5.66,480,972,1,1.90015164685701
22,NS01,42,21,female,binary,1,22,2217,6.24,5665,6.15,1440,972,2,1.80010588538244
23,NS01,42,21,female,binary,1,23,5215,6.83,7530,6.71,1440,972,2,4.56684585654375
24,NS01,42,21,female,binary,1,24,1605,6.59,2593,5.8,480,972,1,2.31683586593908
25,NS01,42,21,female,binary,1,25,4100,6.11,5875,6.03,1440,972,2,3.01686924807882
26,NS01,42,21,female,binary,1,26,7195,6.02,7053,5.22,1440,972,2,3.43351771131302
27,NS01,42,21,female,binary,1,27,2620,5.93,5750,6.6,1440,972,2,3.21696257384428
28,NS01,42,21,female,binary,1,28,7021,5.21,2616,5.97,1440,972,2,3.2001573257271
29,NS01,42,21,female,binary,1,29,1908,5.28,7233,5.09,1440,972,2,3.10014341399847
30,NS01,42,21,female,binary,1,30,7477,6.12,7495,5.9,480,972,1,3.15011596612749
31,NS01,42,21,female,binary,1,31,7547,5.21,7052,5.33,1440,972,2,2.60014656892599
32,NS01,42,21,female,binary,1,32,2392,6.15,8161,6.71,1440,972,2,1.76678774578022
33,NS01,42,21,female,binary,1,33,7340,6.68,2018,5.56,1440,972,2,3.20010173890614
34,NS01,42,21,female,binary,1,34,7509,6.03,2411,5.07,1440,972,2,3.13349039865398
35,NS01,42,21,female,binary,1,35,8179,6.48,1419,6.54,480,972,1,2.28338371702739
36,NS01,42,21,female,binary,1,36,2560,6.34,5500,5.42,480,972,1,2.20025888435111
37,NS01,42,21,female,binary,1,37,4613,5.34,2382,5.67,1440,972,2,1.7834673977286
38,NS01,42,21,female,binary,1,38,5720,6.31,8206,6.43,1440,972,2,2.85021845620668
39,NS01,42,21,female,binary,1,39,7496,5.92,7497,5.19,480,972,1,2.6002586439763
40,NS01,42,21,female,binary,1,40,2358,6.56,8031,6.76,1440,972,2,2.15028122424428
41,NS01,42,21,female,binary,1,41,7461,5.8,2010,6.25,480,972,1,2.71704234844401
42,NS01,42,21,female,binary,1,42,1640,6.16,7080,5.27,1440,972,2,1.91692264147378
43,NS01,42,21,female,binary,1,43,5593,6.47,7014,5.15,480,972,1,1.83349673855628
44,NS01,42,21,female,binary,1,44,7475,6.33,5410,6.11,1440,972,2,2.06676518053564
45,NS01,42,21,female,binary,1,45,8250,6.19,4600,6.41,1440,972,2,2.65009388163344
46,NS01,42,21,female,binary,1,46,7057,5.35,7472,6.25,1440,972,2,3.11679812699458
47,NS01,42,21,female,binary,1,47,2359,5.87,2032,5.58,1440,972,2,2.81689220393355
48,NS01,42,21,female,binary,1,48,2152,6.93,1616,5.21,480,972,1,5.03367389525692
49,NS01,42,21,female,binary,1,49,2389,6.61,7240,6.02,480,972,1,3.23354517420785
50,NS01,42,21,female,binary,1,50,7900,6.5,5622,6.33,480,972,1,1.91675978711146
51,NS01,42,21,female,continuous,2,51,7503,5.77,5711,6.62,1221,972,77,5.70004780466616
52,NS01,42,21,female,continuous,2,52,2102,5.16,2635,5.22,1043,972,59,6.78347160429894
53,NS01,42,21,female,continuous,2,53,1333,6.11,2575,5.46,582,972,12,4.55009108726927
54,NS01,42,21,female,continuous,2,54,1450,6.37,7515,6.19,842,972,38,3.76686436545242
55,NS01,42,21,female,continuous,2,55,8320,6.24,5635,6.25,1047,972,59,3.13343541277118
56,NS01,42,21,female,continuous,2,56,7501,6.85,2308,5.22,1283,972,84,3.51690996166917
57,NS01,42,21,female,continuous,2,57,1670,5.82,7600,5.9,1194,972,75,2.91687817201682
58,NS01,42,21,female,continuous,2,58,5531,5.15,8467,6.35,1211,972,76,3.1168353851881
59,NS01,42,21,female,continuous,2,59,8205,6.62,2273,5.41,480,972,1,3.5668152086746
