rowN,DAU,participantN,age,gender,task,taskOrder,trial,lImage,lValue,rImage,rValue,xBoxPos,yBoxPos,response,RT
1,NS01,58,22,male,binary,1,1,7820,5.39,7237,5.43,480,972,1,7.76684513525106
2,NS01,58,22,male,binary,1,2,8031,6.76,2616,5.97,480,972,1,3.00024157715961
3,NS01,58,22,male,binary,1,3,2305,5.41,7490,5.52,1440,972,2,2.71698856446892
4,NS01,58,22,male,binary,1,4,1810,6.52,8211,5.76,480,972,1,2.46681812312454
5,NS01,58,22,male,binary,1,5,2342,6.2,7183,5.58,480,972,1,2.31708976253867
6,NS01,58,22,male,binary,1,6,5530,5.38,1903,5.5,480,972,1,3.43360094144009
7,NS01,58,22,male,binary,1,7,7710,5.42,7546,5.4,1440,972,2,2.66672485764138
8,NS01,58,22,male,binary,1,8,5510,5.15,8600,6.38,1440,972,2,2.03356782952324
9,NS01,58,22,male,binary,1,9,2382,5.67,2515,6.09,480,972,1,3.66690604062751
10,NS01,58,22,male,binary,1,10,8192,5.52,1640,6.27,480,972,1,3.45015740068629
11,NS01,58,22,male,binary,1,11,1659,6.57,1650,6.65,480,972,1,3.60016760183498
12,NS01,58,22,male,binary,1,12,7493,5.35,5390,5.59,480,972,1,1.85010578017682
13,NS01,58,22,male,binary,1,13,7451,6.68,2018,5.56,1440,972,2,4.66690814378671
14,NS01,58,22,male,binary,1,14,7039,5.93,5726,6.23,480,972,1,1.28348918166012
15,NS01,58,22,male,binary,1,15,2372,5.48,2389,6.61,1440,972,2,3.45015289401636
16,NS01,58,22,male,binary,1,16,5661,5.96,2392,6.15,480,972,1,1.38351691514254
17,NS01,58,22,male,binary,1,17,5750,6.6,2606,5.92,480,972,1,1.46688963496126
18,NS01,58,22,male,binary,1,18,1675,5.24,2513,5.8,1440,972,2,2.33339442871511
19,NS01,58,22,male,binary,1,19,7550,5.27,5301,6.54,1440,972,2,1.88353839842603
20,NS01,58,22,male,binary,1,20,7291,6.35,2217,6.24,480,972,1,4.68355564563535
21,NS01,58,22,male,binary,1,21,7019,5.2,7095,5.99,1440,972,2,1.65027446369641
22,NS01,58,22,male,binary,1,22,7461,5.8,7188,5.5,1440,972,2,2.95023687486537
23,NS01,58,22,male,binary,1,23,7205,5.56,7248,5.22,480,972,1,3.10015963949263
24,NS01,58,22,male,binary,1,24,8130,6.58,5020,6.32,1440,972,2,1.48356237611733
25,NS01,58,22,male,binary,1,25,7021,5.21,5849,6.65,1440,972,2,1.50007947417907
26,NS01,58,22,male,binary,1,26,7506,5.34,2102,5.16,1440,972,2,2.48356568138115
27,NS01,58,22,male,binary,1,27,2511,6.21,2870,5.31,1440,972,2,1.93348931707442
28,NS01,58,22,male,binary,1,28,8205,6.62,7192,5.77,480,972,1,1.98338074237108
29,NS01,58,22,male,binary,1,29,7660,6.61,7238,6.43,480,972,1,1.61681630532257
30,NS01,58,22,male,binary,1,30,1419,6.54,7140,5.5,480,972,1,1.7168479450047
31,NS01,58,22,male,binary,1,31,7900,6.5,1605,6.59,1440,972,2,1.1835729223676
32,NS01,58,22,male,binary,1,32,7352,6.2,7100,5.24,1440,972,2,1.43346603051759
33,NS01,58,22,male,binary,1,33,2010,6.25,2235,5.64,480,972,1,2.45010391739197
34,NS01,58,22,male,binary,1,34,4100,6.11,8206,6.43,480,972,1,2.63348664296791
35,NS01,58,22,male,binary,1,35,2500,6.16,2635,5.22,480,972,1,3.016832891386
36,NS01,58,22,male,binary,1,36,9156,6.43,7472,6.25,1440,972,2,1.88349122484215
37,NS01,58,22,male,binary,1,37,5900,5.93,7250,6.62,480,972,1,1.40018034167588
38,NS01,58,22,male,binary,1,38,1333,6.11,5740,5.21,1440,972,2,1.75014144578017
39,NS01,58,22,male,binary,1,39,7489,6.54,1720,6.79,480,972,1,2.71686356910504
40,NS01,58,22,male,binary,1,40,2521,5.78,2605,6.26,1440,972,2,2.40025606006384
41,NS01,58,22,male,binary,1,41,2514,5.19,7300,5.64,480,972,1,1.21692771953531
42,NS01,58,22,male,binary,1,42,7503,5.77,7515,6.19,480,972,1,1.68358479114249
43,NS01,58,22,male,binary,1,43,2358,6.56,5875,6.03,480,972,1,5.83353009051643
44,NS01,58,22,male,binary,1,44,8251,6.16,7286,6.36,1440,972,2,2.21686101518571
45,NS01,58,22,male,binary,1,45,2020,5.68,8191,6.07,1440,972,2,1.5501424674876
46,NS01,58,22,male,binary,1,46,2720,5.43,2152,6.93,1440,972,2,2.03350172634237
47,NS01,58,22,male,binary,1,47,2032,5.58,4619,6.46,480,972,1,1.90011559054255
48,NS01,58,22,male,binary,1,48,5635,6.25,5800,6.36,1440,972,2,1.58348013763316
49,NS01,58,22,male,binary,1,49,5711,6.62,7182,5.16,480,972,1,2.11688045575283
50,NS01,58,22,male,binary,1,50,8179,6.48,7240,6.02,480,972,1,3.61685987329111
51,NS01,58,22,male,continuous,2,51,2273,5.41,5628,6.51,840,972,38,6.26679120119661
52,NS01,58,22,male,continuous,2,52,8341,6.25,2359,5.87,750,972,29,6.65027416334487
53,NS01,58,22,male,continuous,2,53,8158,6.53,1616,5.21,582,972,12,2.1168029345572
54,NS01,58,22,male,continuous,2,54,1942,6.26,2191,5.3,1049,972,60,3.16694555222057
55,NS01,58,22,male,continuous,2,55,1908,5.28,5593,6.47,797,972,34,5.50027718301862
56,NS01,58,22,male,continuous,2,56,5665,6.15,2122,5.15,816,972,36,2.63343646447174
57,NS01,58,22,male,continuous,2,57,7512,5.38,2362,6.74,1004,972,55,3.50028950232081
58,NS01,58,22,male,continuous,2,58,7600,5.9,4613,5.34,681,972,22,3.2002189217601
59,NS01,58,22,male,continuous,2,59,5500,5.42,5626,6.71,1273,972,83,1.90015825722367
60,NS01,58,22,male,continuous,2,60,2019,6.07,7233,5.09,711,972,25,2.50012935209088
