rowN,DAU,participantN,age,gender,task,taskOrder,trial,lImage,lValue,rImage,rValue,xBoxPos,yBoxPos,response,RT
1,NS01,55,22,female,continuous,1,1,7497,5.19,2390,5.4,480,972,1,4.33358823158778
2,NS01,55,22,female,continuous,1,2,7190,5.55,2372,5.48,480,972,1,2.45019766385667
3,NS01,55,22,female,continuous,1,3,2384,5.92,2515,6.09,1440,972,100,2.48364260140806
4,NS01,55,22,female,continuous,1,4,4617,6.6,1910,6.71,480,972,1,1.98354750289582
5,NS01,55,22,female,continuous,1,5,2359,5.87,7019,5.2,480,972,1,1.25032097636722
6,NS01,55,22,female,continuous,1,6,7340,6.68,8130,6.58,1440,972,100,1.40004362817854
7,NS01,55,22,female,continuous,1,7,4600,6.41,7061,5.4,943,972,49,4.83348471974023
8,NS01,55,22,female,continuous,1,8,7450,6.4,7900,6.5,1440,972,100,1.71678094007075
9,NS01,55,22,female,continuous,1,9,8600,6.38,2635,5.22,1440,972,100,3.53352501289919
10,NS01,55,22,female,continuous,1,10,2032,5.58,1595,6.22,480,972,1,2.13342609838583
11,NS01,55,22,female,continuous,1,11,2435,5.84,8040,6.64,480,972,1,5.36687812674791
12,NS01,55,22,female,continuous,1,12,1650,6.65,8118,6.14,533,972,6,2.46683254558593
13,NS01,55,22,female,continuous,1,13,1616,5.21,7475,6.33,1295,972,85,2.65024171257392
14,NS01,55,22,female,continuous,1,14,7451,6.68,7354,5.51,1202,972,75,1.35014829668216
15,NS01,55,22,female,continuous,1,15,2025,5.78,5740,5.21,1211,972,76,4.10017977072857
16,NS01,55,22,female,continuous,1,16,8179,6.48,5635,6.25,1229,972,78,3.08357523614541
17,NS01,55,22,female,continuous,1,17,1670,5.82,5890,6.67,1241,972,79,1.41681943018921
18,NS01,55,22,female,continuous,1,18,1900,6.65,4536,6.01,708,972,25,2.86684522568248
19,NS01,55,22,female,continuous,1,19,7095,5.99,7320,6.54,1265,972,82,1.63347432343289
20,NS01,55,22,female,continuous,1,20,8205,6.62,5726,6.23,663,972,20,1.28361658076756
21,NS01,55,22,female,continuous,1,21,7493,5.35,5800,6.36,1202,972,75,1.51684506027959
22,NS01,55,22,female,continuous,1,22,2038,5.09,1908,5.28,1164,972,72,2.15020520542748
23,NS01,55,22,female,continuous,1,23,5455,5.79,7632,5.22,1239,972,79,2.4334903685376
24,NS01,55,22,female,continuous,1,24,7490,5.52,8161,6.71,711,972,25,1.55013255216181
25,NS01,55,22,female,continuous,1,25,7279,6.22,5500,5.42,1200,972,75,2.75014114542864
26,NS01,55,22,female,continuous,1,26,7830,5.26,7242,5.28,1199,972,75,2.98361270455644
27,NS01,55,22,female,continuous,1,27,7165,6.09,5020,6.32,616,972,15,1.98358025401831
28,NS01,55,22,female,continuous,1,28,7472,6.25,2489,5.66,631,972,17,2.40010702703148
29,NS01,55,22,female,continuous,1,29,1947,5.85,5750,6.6,1440,972,100,1.71684043318965
30,NS01,55,22,female,continuous,1,30,2122,5.15,5900,5.93,1210,972,76,1.46682383213192
31,NS01,55,22,female,continuous,1,31,5711,6.62,2593,5.8,1278,972,83,1.80011790408753
32,NS01,55,22,female,continuous,1,32,7460,6.81,5622,6.33,1440,972,100,3.50029911729507
33,NS01,55,22,female,continuous,1,33,7501,6.85,7390,6.84,658,972,19,1.86680616461672
34,NS01,55,22,female,continuous,1,34,8208,6.79,1450,6.37,1323,972,88,2.00026351143606
35,NS01,55,22,female,continuous,1,35,5300,6.91,2342,6.2,584,972,12,1.03352786717005
36,NS01,55,22,female,continuous,1,36,7192,5.77,7489,6.54,480,972,1,1.30010212934576
37,NS01,55,22,female,continuous,1,37,2351,5.49,2102,5.16,1440,972,100,1.53344959486276
38,NS01,55,22,female,continuous,1,38,7250,6.62,7547,5.21,480,972,1,1.58346090745181
39,NS01,55,22,female,continuous,1,39,5531,5.15,7080,5.27,699,972,24,1.833504851209
40,NS01,55,22,female,continuous,1,40,5849,6.65,7014,5.15,1440,972,100,1.3335753113497
41,NS01,55,22,female,continuous,1,41,2575,5.46,1640,6.27,1440,972,100,2.31680972501636
42,NS01,55,22,female,continuous,1,42,5395,5.34,9156,6.43,1436,972,100,2.56691676727496
43,NS01,55,22,female,continuous,1,43,5731,5.39,5510,5.15,503,972,3,1.56683263578452
44,NS01,55,22,female,continuous,1,44,1605,6.59,2339,6.72,1440,972,100,1.75017750239931
45,NS01,55,22,female,continuous,1,45,1640,6.16,1659,6.57,480,972,1,1.0335951722227
46,NS01,55,22,female,continuous,1,46,5471,5.21,5215,6.83,1440,972,100,2.80029367865063
47,NS01,55,22,female,continuous,1,47,5301,6.54,7505,6.1,579,972,11,1.48348455457017
48,NS01,55,22,female,continuous,1,48,2606,5.92,8465,5.96,1345,972,90,1.23357011307962
49,NS01,55,22,female,continuous,1,49,2620,5.93,1720,6.79,629,972,16,2.81695379992016
50,NS01,55,22,female,continuous,1,50,2152,6.93,7300,5.64,655,972,19,1.21678589773364
51,NS01,55,22,female,binary,2,51,2597,5.61,8206,6.43,480,972,1,5.93344244384207
52,NS01,55,22,female,binary,2,52,2056,6.34,7820,5.39,480,972,1,1.38349017337896
53,NS01,55,22,female,binary,2,53,2217,6.24,7248,5.22,480,972,1,2.68362715723924
54,NS01,55,22,female,binary,2,54,7100,5.24,7546,5.4,1440,972,2,1.48356868582778
55,NS01,55,22,female,binary,2,55,1810,6.52,4625,6.4,480,972,1,1.41684466972947
