rowN,DAU,participantN,age,gender,task,taskOrder,trial,lImage,lValue,rImage,rValue,xBoxPos,yBoxPos,response,RT
1,NS01,41,20,Male,continuous,1,1,7499,6.47,7632,5.22,728,972,27,5.81686300341971
2,NS01,41,20,Male,continuous,1,2,7495,5.9,8191,6.07,1440,972,100,12.0835737589514
3,NS01,41,20,Male,continuous,1,3,1450,6.37,5740,5.21,480,972,1,4.78354485379532
4,NS01,41,20,Male,continuous,1,4,8192,5.52,5455,5.79,1440,972,100,4.60020714357961
5,NS01,41,20,Male,continuous,1,5,6250,6.32,5390,5.59,1440,972,100,12.8837432838045
6,NS01,41,20,Male,continuous,1,6,8040,6.64,2593,5.8,1440,972,100,6.06678232736886
7,NS01,41,20,Male,continuous,1,7,5800,6.36,8021,6.79,878,972,42,3.71673578466289
8,NS01,41,20,Male,continuous,1,8,2720,5.43,7021,5.21,1440,972,100,1.83345762745012
9,NS01,41,20,Male,continuous,1,9,8620,6.04,5875,6.03,480,972,1,6.08350044442341
10,NS01,41,20,Male,continuous,1,10,7500,5.33,2506,5.67,960,972,50,5.76701272733044
11,NS01,41,20,Male,continuous,1,11,2351,5.49,2870,5.31,1440,972,100,2.31675964186434
12,NS01,41,20,Male,continuous,1,12,1605,6.59,2377,5.19,1173,972,72,7.650116612087
13,NS01,41,20,Male,continuous,1,13,2018,5.56,2372,5.48,1318,972,87,7.13357396924403
14,NS01,41,20,Male,continuous,1,14,5720,6.31,7390,6.84,480,972,1,3.05025711166672
15,NS01,41,20,Male,continuous,1,15,7250,6.62,7503,5.77,483,972,1,4.53339957678691
16,NS01,41,20,Male,continuous,1,16,5410,6.11,7140,5.5,935,972,48,7.46684800996445
17,NS01,41,20,Male,continuous,1,17,8312,5.37,1900,6.65,1440,972,100,2.16681970574427
18,NS01,41,20,Male,continuous,1,18,5301,6.54,1675,5.24,960,972,50,2.05024419142865
19,NS01,41,20,Male,continuous,1,19,2880,5.18,7515,6.19,1237,972,79,4.85034581029322
20,NS01,41,20,Male,continuous,1,20,7053,5.22,7830,5.26,1002,972,55,5.73354704724625
21,NS01,41,20,Male,continuous,1,21,1640,6.27,2579,5.53,896,972,44,7.46681225404609
22,NS01,41,20,Male,continuous,1,22,8117,6.02,2302,6.43,1414,972,97,4.45022093504667
23,NS01,41,20,Male,continuous,1,23,7095,5.99,5520,5.33,480,972,1,2.76683214516379
24,NS01,41,20,Male,continuous,1,24,7033,5.4,8158,6.53,1440,972,100,6.35011384787504
25,NS01,41,20,Male,continuous,1,25,7472,6.25,2489,5.66,960,972,50,2.21691516484134
26,NS01,41,20,Male,continuous,1,26,4617,6.6,2488,5.73,960,972,50,4.45041293511167
27,NS01,41,20,Male,continuous,1,27,1720,6.79,2056,6.34,960,972,50,2.58352087624371
28,NS01,41,20,Male,continuous,1,28,7490,5.52,7017,5.18,960,972,50,2.43344542838167
29,NS01,41,20,Male,continuous,1,29,7019,5.2,5950,5.99,960,972,50,4.0334972293349
30,NS01,41,20,Male,continuous,1,30,8208,6.79,2308,5.22,480,972,1,4.01682538469322
31,NS01,41,20,Male,continuous,1,31,2273,5.41,2560,6.34,960,972,50,2.93359956925269
32,NS01,41,20,Male,continuous,1,32,2025,5.78,2620,5.93,859,972,40,4.31682935077697
33,NS01,41,20,Male,continuous,1,33,8206,6.43,2032,5.58,480,972,1,4.7836791635491
34,NS01,41,20,Male,continuous,1,34,5533,5.31,8031,6.76,1440,972,100,4.38352634490002
35,NS01,41,20,Male,continuous,1,35,7660,6.61,7509,6.03,1440,972,100,3.83350420021452
36,NS01,41,20,Male,continuous,1,36,8325,5.63,7179,5.06,960,972,50,3.03327217779588
37,NS01,41,20,Male,continuous,1,37,2357,5.41,1903,5.5,960,972,50,3.85013247688767
38,NS01,41,20,Male,continuous,1,38,7507,6.25,7057,5.35,480,972,1,3.30014458589721
39,NS01,41,20,Male,continuous,1,39,8211,5.76,2442,6.17,557,972,9,9.00012559629977
40,NS01,41,20,Male,continuous,1,40,2107,5.53,7451,6.68,561,972,9,2.56676550104748
41,NS01,41,20,Male,continuous,1,41,7501,6.85,2019,6.07,1440,972,100,3.18347652698867
42,NS01,41,20,Male,continuous,1,42,7530,6.71,7489,6.54,1342,972,90,4.55016697081737
43,NS01,41,20,Male,continuous,1,43,7026,5.38,7493,5.35,961,972,51,3.88347105844878
44,NS01,41,20,Male,continuous,1,44,7233,5.09,4619,6.46,1342,972,90,2.01688097149599
45,NS01,41,20,Male,continuous,1,45,2191,5.3,8161,6.71,1011,972,56,5.43350191658828
46,NS01,41,20,Male,continuous,1,46,2513,5.8,5040,5.39,960,972,50,2.71687520237174
47,NS01,41,20,Male,continuous,1,47,1660,6.49,7165,6.09,809,972,35,2.98343121632934
48,NS01,41,20,Male,continuous,1,48,1659,6.57,8600,6.38,738,972,28,6.05018049187493
49,NS01,41,20,Male,continuous,1,49,7461,5.8,8118,6.14,960,972,50,6.20021778019145
50,NS01,41,20,Male,continuous,1,50,4536,6.01,2342,6.2,1098,972,65,4.76679999497719
51,NS01,41,20,Male,binary,2,51,7488,6.19,5870,6.78,1440,972,2,13.3335772142746
52,NS01,41,20,Male,binary,2,52,8311,5.88,2382,5.67,480,972,1,4.01675327192061
53,NS01,41,20,Male,binary,2,53,4625,6.4,2511,6.21,480,972,1,4.53347589599434
54,NS01,41,20,Male,binary,2,54,7900,6.5,2605,6.26,480,972,1,1.36677968327422
55,NS01,41,20,Male,binary,2,55,5510,5.15,7547,5.21,1440,972,2,1.26680480246432
56,NS01,41,20,Male,binary,2,56,1560,5.97,2900,6.62,480,972,1,1.50023286382202
57,NS01,41,20,Male,binary,2,57,7039,5.93,8251,6.16,480,972,1,3.86680822784547
58,NS01,41,20,Male,binary,2,58,2036,5.8,2010,6.25,480,972,1,3.51685212634038
59,NS01,41,20,Male,binary,2,59,2500,6.16,7096,5.54,1440,972,2,12.2003307567211
60,NS01,41,20,Male,binary,2,60,2384,5.92,7061,5.4,480,972,1,4.71684876119252
61,NS01,41,20,Male,binary,2,61,5990,6.54,2358,6.56,480,972,1,3.33344080124516
62,NS01,41,20,Male,binary,2,62,5731,5.39,2359,5.87,480,972,1,2.03345245937817
63,NS01,41,20,Male,binary,2,63,2411,5.07,7100,5.24,1440,972,2,2.65007394552231
