rowN,DAU,participantN,age,gender,task,taskOrder,trial,lImage,lValue,rImage,rValue,xBoxPos,yBoxPos,response,RT
1,NS01,37,23,Male,continuous,1,1,8031,6.76,7440,6.32,744,972,28,3.61706527939532
2,NS01,37,23,Male,continuous,1,2,7488,6.19,5530,5.38,507,972,4,4.13369355606847
3,NS01,37,23,Male,continuous,1,3,2579,5.53,8467,6.35,480,972,1,3.95027652208228
4,NS01,37,23,Male,continuous,1,4,8600,6.38,2445,5.39,564,972,10,5.40021020837594
5,NS01,37,23,Male,continuous,1,5,8158,6.53,8311,5.88,703,972,24,4.40042444306891
6,NS01,37,23,Male,continuous,1,6,5395,5.34,7546,5.4,1225,972,78,4.95015783666167
7,NS01,37,23,Male,continuous,1,7,2038,5.09,5500,5.42,1055,972,60,2.16695341456216
8,NS01,37,23,Male,continuous,1,8,2351,5.49,7495,5.9,1035,972,58,4.5001442253124
9,NS01,37,23,Male,continuous,1,9,4619,6.46,5510,5.15,480,972,1,3.18355615145992
10,NS01,37,23,Male,continuous,1,10,1903,5.5,8040,6.64,683,972,22,2.80030143086333
11,NS01,37,23,Male,continuous,1,11,5990,6.54,1616,5.21,785,972,32,8.53359458141495
12,NS01,37,23,Male,continuous,1,12,2374,6.29,7510,6.05,1386,972,94,5.05018740275409
13,NS01,37,23,Male,continuous,1,13,2339,6.72,5950,5.99,955,972,50,3.45032579894178
14,NS01,37,23,Male,continuous,1,14,8118,6.14,2980,5.61,1186,972,74,2.76679729076568
15,NS01,37,23,Male,continuous,1,15,2382,5.67,1850,6.15,1189,972,74,5.86697018088307
16,NS01,37,23,Male,continuous,1,16,2435,5.84,7451,6.68,1073,972,62,3.6835318133235
17,NS01,37,23,Male,continuous,1,17,2488,5.73,1900,6.65,1390,972,95,4.08359929884318
18,NS01,37,23,Male,continuous,1,18,7205,5.56,5900,5.93,1162,972,71,7.50037618761417
19,NS01,37,23,Male,continuous,1,19,7320,6.54,7019,5.2,646,972,18,4.38347857026383
20,NS01,37,23,Male,continuous,1,20,7503,5.77,1942,6.26,1440,972,100,3.13351177214645
21,NS01,37,23,Male,continuous,1,21,5520,5.33,8312,5.37,889,972,43,3.08348752418533
22,NS01,37,23,Male,continuous,1,22,5711,6.62,2597,5.61,613,972,15,3.21687820716761
23,NS01,37,23,Male,continuous,1,23,5020,6.32,8021,6.79,951,972,50,3.16677613765933
24,NS01,37,23,Male,continuous,1,24,5390,5.59,2605,6.26,826,972,37,6.75026486371644
25,NS01,37,23,Male,continuous,1,25,2515,6.09,7195,6.02,1001,972,55,2.50025299529079
26,NS01,37,23,Male,continuous,1,26,1333,6.11,2521,5.78,490,972,2,4.13353340583853
27,NS01,37,23,Male,continuous,1,27,1640,6.16,5300,6.91,538,972,7,4.03336442192085
28,NS01,37,23,Male,continuous,1,28,7490,5.52,8280,6.38,563,972,10,2.65020585153252
29,NS01,37,23,Male,continuous,1,29,7026,5.38,1670,5.82,1177,972,73,2.3334311862709
30,NS01,37,23,Male,continuous,1,30,2032,5.58,2620,5.93,480,972,1,3.06679765123408
31,NS01,37,23,Male,continuous,1,31,7340,6.68,7033,5.4,503,972,3,1.5836801250698
32,NS01,37,23,Male,continuous,1,32,7001,5.32,1650,6.65,1315,972,87,1.85010273056105
33,NS01,37,23,Male,continuous,1,33,5250,6.08,1450,6.37,1376,972,93,1.41679341474082
34,NS01,37,23,Male,continuous,1,34,2372,5.48,2010,6.25,577,972,11,1.66684103908483
35,NS01,37,23,Male,continuous,1,35,5622,6.33,8620,6.04,1006,972,55,5.55029166559689
36,NS01,37,23,Male,continuous,1,36,2025,5.78,7192,5.77,480,972,1,2.13348773459438
37,NS01,37,23,Male,continuous,1,37,4600,6.41,5849,6.65,1219,972,77,2.93347397306934
38,NS01,37,23,Male,continuous,1,38,7238,6.43,7061,5.4,542,972,7,3.51705374137964
39,NS01,37,23,Male,continuous,1,39,7830,5.26,7461,5.8,523,972,5,2.96694055455737
40,NS01,37,23,Male,continuous,1,40,5870,6.78,1595,6.22,591,972,12,1.95016925444361
41,NS01,37,23,Male,continuous,1,41,4536,6.01,2392,6.15,978,972,52,2.91682316106744
42,NS01,37,23,Male,continuous,1,42,7096,5.54,7477,6.12,1440,972,100,2.03348941716831
43,NS01,37,23,Male,continuous,1,43,7820,5.39,7188,5.5,1396,972,95,1.63347120874096
44,NS01,37,23,Male,continuous,1,44,5750,6.6,2506,5.67,775,972,31,2.55029136512894
45,NS01,37,23,Male,continuous,1,45,5800,6.36,7279,6.22,1341,972,90,1.70023039996158
46,NS01,37,23,Male,continuous,1,46,2511,6.21,2102,5.16,935,972,48,1.26690996671095
47,NS01,37,23,Male,continuous,1,47,2273,5.41,2593,5.8,977,972,52,4.53356844070368
48,NS01,37,23,Male,continuous,1,48,7900,6.5,7057,5.35,633,972,17,3.53350053459872
49,NS01,37,23,Male,continuous,1,49,2358,6.56,7179,5.06,997,972,54,6.30013947782572
50,NS01,37,23,Male,continuous,1,50,7497,5.19,2870,5.31,1047,972,59,3.46683779393788
51,NS01,37,23,Male,binary,2,51,2020,5.68,8250,6.19,1440,972,2,10.2335665777791
52,NS01,37,23,Male,binary,2,52,2362,6.74,1910,6.71,480,972,1,4.56693286250811
53,NS01,37,23,Male,binary,2,53,7509,6.03,7507,6.25,1440,972,2,6.90015462157317
54,NS01,37,23,Male,binary,2,54,2018,5.56,1947,5.85,1440,972,2,2.01674906536937
55,NS01,37,23,Male,binary,2,55,5890,6.67,2560,6.34,480,972,1,1.70021207130048
56,NS01,37,23,Male,binary,2,56,8320,6.24,8191,6.07,1440,972,2,1.4834546528291
57,NS01,37,23,Male,binary,2,57,5531,5.15,1419,6.54,1440,972,2,1.4002997482894
58,NS01,37,23,Male,binary,2,58,7515,6.19,9156,6.43,1440,972,2,3.56694728508592
59,NS01,37,23,Male,binary,2,59,2342,6.2,2060,6.49,480,972,1,12.2003334609326
60,NS01,37,23,Male,binary,2,60,2308,5.22,1660,6.49,480,972,1,4.8335492706392
61,NS01,37,23,Male,binary,2,61,7053,5.22,2107,5.53,480,972,1,3.11680837813765
62,NS01,37,23,Male,binary,2,62,2357,5.41,7242,5.28,480,972,1,2.60023508733138
63,NS01,37,23,Male,binary,2,63,5720,6.31,8206,6.43,480,972,1,4.00011778401677
64,NS01,37,23,Male,binary,2,64,7472,6.25,7014,5.15,480,972,1,1.86672950477805
65,NS01,37,23,Male,binary,2,65,8325,5.63,7183,5.58,1440,972,2,2.53365768003277
66,NS01,37,23,Male,binary,2,66,5665,6.15,7489,6.54,480,972,1,1.78344629984349
67,NS01,37,23,Male,binary,2,67,7042,5.55,1605,6.59,1440,972,2,3.30019746848848
68,NS01,37,23,Male,binary,2,68,7351,5.82,5471,5.21,480,972,1,4.51676048326772
69,NS01,37,23,Male,binary,2,69,7052,5.33,2036,5.8,480,972,1,4.66678605310153
70,NS01,37,23,Male,binary,2,70,7100,5.24,7291,6.35,1440,972,2,1.46680774702691
71,NS01,37,23,Male,binary,2,71,7450,6.4,8161,6.71,1440,972,2,3.03351195238065
72,NS01,37,23,Male,binary,2,72,5410,6.11,2384,5.92,480,972,1,4.75017201877199
73,NS01,37,23,Male,binary,2,73,7512,5.38,5661,5.96,1440,972,2,1.76678557239939
74,NS01,37,23,Male,binary,2,74,2359,5.87,2191,5.3,1440,972,2,3.71694010379724
75,NS01,37,23,Male,binary,2,75,7237,5.43,7300,5.64,480,972,1,2.3333728951402
76,NS01,37,23,Male,binary,2,76,2594,6.05,8205,6.62,480,972,1,2.30015149665996
