rowN,DAU,participantN,age,gender,task,taskOrder,trial,lImage,lValue,rImage,rValue,xBoxPos,yBoxPos,response,RT
1,NS01,25,18,male,continuous,1,1,7053,5.22,1333,6.11,574,972,11,7.96705172822112
2,NS01,25,18,male,continuous,1,2,1659,6.57,2374,6.29,946,972,49,10.0501931117033
3,NS01,25,18,male,continuous,1,3,2500,6.16,8280,6.38,773,972,31,16.9503498364938
4,NS01,25,18,male,continuous,1,4,2191,5.3,5390,5.59,1248,972,80,3.38348097394919
5,NS01,25,18,male,continuous,1,5,8192,5.52,5593,6.47,1400,972,96,7.78377351100789
6,NS01,25,18,male,continuous,1,6,1419,6.54,2575,5.46,1440,972,100,3.4168156493688
7,NS01,25,18,male,continuous,1,7,5395,5.34,5849,6.65,1440,972,100,2.88341156556271
8,NS01,25,18,male,continuous,1,8,8211,5.76,7495,5.9,1440,972,100,5.53345666598761
9,NS01,25,18,male,continuous,1,9,8021,6.79,8117,6.02,636,972,17,6.6169366784743
10,NS01,25,18,male,continuous,1,10,7188,5.5,2579,5.53,1440,972,100,2.90019218018278
11,NS01,25,18,male,continuous,1,11,7351,5.82,7014,5.15,480,972,1,4.95025729195913
12,NS01,25,18,male,continuous,1,12,2435,5.84,7496,5.92,1181,972,73,5.03372348280391
13,NS01,25,18,male,continuous,1,13,7061,5.4,1560,5.97,989,972,53,9.90018977643922
14,NS01,25,18,male,continuous,1,14,4536,6.01,7512,5.38,1440,972,100,8.10024079616414
15,NS01,25,18,male,continuous,1,15,7505,6.1,2056,6.34,960,972,50,5.93365755985724
16,NS01,25,18,male,continuous,1,16,2980,5.61,2020,5.68,480,972,1,4.26682793861255
17,NS01,25,18,male,continuous,1,17,7019,5.2,1605,6.59,1440,972,100,4.80015119619202
18,NS01,25,18,male,continuous,1,18,1650,6.65,7165,6.09,1203,972,76,11.0002115304233
19,NS01,25,18,male,continuous,1,19,7354,5.51,7900,6.5,480,972,1,2.80015089572407
20,NS01,25,18,male,continuous,1,20,7001,5.32,7026,5.38,1440,972,100,2.70023701025639
21,NS01,25,18,male,continuous,1,21,7248,5.22,8158,6.53,480,972,1,10.067006477504
22,NS01,25,18,male,continuous,1,22,7451,6.68,7242,5.28,480,972,1,4.88354617584264
23,NS01,25,18,male,continuous,1,23,1900,6.65,7100,5.24,1440,972,100,11.7169935873826
24,NS01,25,18,male,continuous,1,24,2305,5.41,8118,6.14,957,972,50,5.13359560305253
25,NS01,25,18,male,continuous,1,25,2235,5.64,7450,6.4,1440,972,100,2.20020666281926
26,NS01,25,18,male,continuous,1,26,2720,5.43,7195,6.02,480,972,1,9.01676018274156
27,NS01,25,18,male,continuous,1,27,2010,6.25,2514,5.19,1171,972,72,6.05014774081064
28,NS01,25,18,male,continuous,1,28,2358,6.56,8179,6.48,1280,972,83,6.50027613138082
29,NS01,25,18,male,continuous,1,29,2339,6.72,2025,5.78,1323,972,88,3.46685431979131
30,NS01,25,18,male,continuous,1,30,7021,5.21,8467,6.35,480,972,1,10.3169807873783
31,NS01,25,18,male,continuous,1,31,1942,6.26,5215,6.83,480,972,1,4.95029995858204
32,NS01,25,18,male,continuous,1,32,2092,6.28,7477,6.12,1440,972,100,2.21679587848485
33,NS01,25,18,male,continuous,1,33,2488,5.73,1910,6.71,480,972,1,4.76675252080895
34,NS01,25,18,male,continuous,1,34,5720,6.31,2302,6.43,1440,972,100,6.43349650828168
35,NS01,25,18,male,continuous,1,35,5900,5.93,5510,5.15,486,972,2,3.01678001374239
36,NS01,25,18,male,continuous,1,36,4645,6.73,8205,6.62,1295,972,85,5.0669085244881
37,NS01,25,18,male,continuous,1,37,7503,5.77,7830,5.26,480,972,1,5.45023295393912
38,NS01,25,18,male,continuous,1,38,2037,6.42,7042,5.55,649,972,18,7.65019022714114
39,NS01,25,18,male,continuous,1,39,5300,6.91,8260,6.18,574,972,11,5.70017992105568
40,NS01,25,18,male,continuous,1,40,2521,5.78,7096,5.54,551,972,8,2.56681748223491
41,NS01,25,18,male,continuous,1,41,2019,6.07,8161,6.71,480,972,1,3.68351588852238
42,NS01,25,18,male,continuous,1,42,2308,5.22,7039,5.93,1440,972,100,2.26680029538693
43,NS01,25,18,male,continuous,1,43,8341,6.25,2515,6.09,648,972,18,4.71684124937747
44,NS01,25,18,male,continuous,1,44,1595,6.22,7279,6.22,1283,972,84,8.56688809255138
45,NS01,25,18,male,continuous,1,45,2351,5.49,2605,6.26,730,972,27,7.98375512222992
46,NS01,25,18,male,continuous,1,46,6250,6.32,2359,5.87,1290,972,85,8.43350432044826
47,NS01,25,18,male,continuous,1,47,2442,6.17,2107,5.53,1161,972,71,4.00018809386529
48,NS01,25,18,male,continuous,1,48,8250,6.19,2102,5.16,745,972,28,4.10032162244897
49,NS01,25,18,male,continuous,1,49,7250,6.62,7192,5.77,1157,972,71,4.96689458272886
50,NS01,25,18,male,continuous,1,50,1903,5.5,5635,6.25,1284,972,84,6.43365936266491
51,NS01,25,18,male,binary,2,51,8193,6.73,5740,5.21,480,972,1,6.68346661154646
52,NS01,25,18,male,binary,2,52,8208,6.79,5622,6.33,480,972,1,5.68364088382805
53,NS01,25,18,male,binary,2,53,7140,5.5,5764,6.74,480,972,1,6.53341760498006
54,NS01,25,18,male,binary,2,54,7179,5.06,2060,6.49,480,972,1,12.7335308218608
55,NS01,25,18,male,binary,2,55,7460,6.81,5661,5.96,480,972,1,1.56678292830475
56,NS01,25,18,male,binary,2,56,8325,5.63,7497,5.19,1440,972,2,8.35020729381358
57,NS01,25,18,male,binary,2,57,8311,5.88,4625,6.4,480,972,1,2.15010068734409
58,NS01,25,18,male,binary,2,58,1450,6.37,7499,6.47,1440,972,2,3.73345991107635
59,NS01,25,18,male,binary,2,59,7440,6.32,7501,6.85,480,972,1,6.63353370636469
60,NS01,25,18,male,binary,2,60,2372,5.48,2593,5.8,1440,972,2,1.30023172195069
61,NS01,25,18,male,binary,2,61,8040,6.64,2389,6.61,1440,972,2,2.73346712230705
62,NS01,25,18,male,binary,2,62,2032,5.58,5471,5.21,1440,972,2,1.78348295704927
63,NS01,25,18,male,binary,2,63,7710,5.42,1616,5.21,480,972,1,2.31698679679539
64,NS01,25,18,male,binary,2,64,5875,6.03,5731,5.39,1440,972,2,1.91690098273102
65,NS01,25,18,male,binary,2,65,2036,5.8,7352,6.2,1440,972,2,2.25027387781302
66,NS01,25,18,male,binary,2,66,7513,5.45,7233,5.09,1440,972,2,2.86696927936282
67,NS01,25,18,male,binary,2,67,7095,5.99,1670,5.82,480,972,1,9.21688872354571
68,NS01,25,18,male,binary,2,68,7238,6.43,4100,6.11,1440,972,2,4.51674846449168
69,NS01,25,18,male,binary,2,69,8620,6.04,7205,5.56,480,972,1,12.2336023335811
70,NS01,25,18,male,binary,2,70,8130,6.58,7546,5.4,1440,972,2,2.13350636366522
71,NS01,25,18,male,binary,2,71,1908,5.28,2560,6.34,480,972,1,1.76684536581161
72,NS01,25,18,male,binary,2,72,7509,6.03,2038,5.09,480,972,1,5.20017331076087
73,NS01,25,18,male,binary,2,73,7472,6.25,7550,5.27,480,972,1,4.53348070353968
