participantNo,block,task,blockTrial,response,trialStage,trialStartTime,trialFinishTime,rt,trial,eye,fixStart,fixEnd,fixLength,fixPosX,fixPosY,dilation,aoi
28,1,binary,1,1,fixationCross,15164416.0,15168483.0,4067.0,1,R,15163639,15163867,230,920.1,896.2,5108,likertHorizontal
28,1,binary,1,1,fixationCross,15164416.0,15168483.0,4067.0,1,R,15163887,15164057,172,1033.5,898.0,5082,likertHorizontal
28,1,binary,1,1,fixationCross,15164416.0,15168483.0,4067.0,1,R,15164097,15164229,134,976.3,597.6,5004,NA
28,1,binary,1,1,trial,15164416.0,15168483.0,4067.0,1,R,15164249,15164559,312,975.4,569.5,4929,NA
28,1,binary,1,1,trial,15164416.0,15168483.0,4067.0,1,R,15164603,15164827,226,1255.2,611.5,4690,right
28,1,binary,1,1,trial,15164416.0,15168483.0,4067.0,1,R,15164881,15164965,86,1419.4,948.3,4544,NA
28,1,binary,1,1,trial,15164416.0,15168483.0,4067.0,1,R,15164987,15165031,46,1346.7,978.5,4574,NA
28,1,binary,1,1,trial,15164416.0,15168483.0,4067.0,1,R,15165099,15165241,144,417.7,1020.6,4823,NA
28,1,binary,1,1,trial,15164416.0,15168483.0,4067.0,1,R,15165255,15165325,72,469.3,1017.3,4866,NA
28,1,binary,1,1,trial,15164416.0,15168483.0,4067.0,1,R,15165375,15165591,218,480.1,616.5,4855,left
28,1,binary,1,1,trial,15164416.0,15168483.0,4067.0,1,R,15165609,15165795,188,548.7,629.3,4799,left
28,1,binary,1,1,trial,15164416.0,15168483.0,4067.0,1,R,15165855,15166037,184,1363.6,575.6,4522,right
28,1,binary,1,1,trial,15164416.0,15168483.0,4067.0,1,R,15166059,15166257,200,1489.3,628.9,4491,right
28,1,binary,1,1,trial,15164416.0,15168483.0,4067.0,1,R,15166273,15166461,190,1500.0,590.6,4481,right
28,1,binary,1,1,trial,15164416.0,15168483.0,4067.0,1,R,15166523,15167055,534,685.5,618.4,4738,left
28,1,binary,1,1,trial,15164416.0,15168483.0,4067.0,1,R,15167097,15167381,286,529.8,771.7,5004,NA
28,1,binary,1,1,trial,15164416.0,15168483.0,4067.0,1,R,15167427,15167945,520,499.9,987.0,5015,NA
28,1,binary,1,1,trial,15164416.0,15168483.0,4067.0,1,R,15167985,15168271,288,552.1,659.6,4748,left
28,1,binary,1,1,postResponse,15164416.0,15168483.0,4067.0,1,R,15168283,15168847,566,589.3,664.4,4657,left
28,1,binary,2,2,fixationCross,15169615.0,15176049.0,6434.0,2,R,15169011,15169289,280,630.8,631.6,4857,left
28,1,binary,2,2,fixationCross,15169615.0,15176049.0,6434.0,2,R,15169335,15169459,126,958.1,598.7,5006,NA
28,1,binary,2,2,trial,15169615.0,15176049.0,6434.0,2,R,15169479,15169925,448,976.9,569.6,4751,NA
28,1,binary,2,2,trial,15169615.0,15176049.0,6434.0,2,R,15169979,15170099,122,1478.1,600.9,4393,right
28,1,binary,2,2,trial,15169615.0,15176049.0,6434.0,2,R,15170149,15170247,100,1368.4,963.9,4456,NA
28,1,binary,2,2,trial,15169615.0,15176049.0,6434.0,2,R,15170265,15170355,92,1413.3,990.8,4475,NA
28,1,binary,2,2,trial,15169615.0,15176049.0,6434.0,2,R,15170421,15170553,134,553.5,843.9,4674,NA
28,1,binary,2,2,trial,15169615.0,15176049.0,6434.0,2,R,15170579,15170771,194,520.5,672.0,4685,left
28,1,binary,2,2,trial,15169615.0,15176049.0,6434.0,2,R,15170791,15170931,142,536.8,609.8,4630,left
28,1,binary,2,2,trial,15169615.0,15176049.0,6434.0,2,R,15170947,15171377,432,494.1,573.0,4408,left
28,1,binary,2,2,trial,15169615.0,15176049.0,6434.0,2,R,15171445,15171637,194,1452.0,536.8,4158,right
28,1,binary,2,2,trial,15169615.0,15176049.0,6434.0,2,R,15171655,15171777,124,1460.0,459.3,4258,right
28,1,binary,2,2,trial,15169615.0,15176049.0,6434.0,2,R,15171795,15172109,316,1466.1,415.0,4335,right
28,1,binary,2,2,trial,15169615.0,15176049.0,6434.0,2,R,15172131,15172349,220,1495.8,540.8,4272,right
28,1,binary,2,2,trial,15169615.0,15176049.0,6434.0,2,R,15172363,15172569,208,1562.2,542.0,4273,right
28,1,binary,2,2,trial,15169615.0,15176049.0,6434.0,2,R,15172579,15172799,222,1583.7,549.6,4334,right
28,1,binary,2,2,trial,15169615.0,15176049.0,6434.0,2,R,15172821,15172973,154,1476.1,529.6,4402,right
28,1,binary,2,2,trial,15169615.0,15176049.0,6434.0,2,R,15172993,15173179,188,1459.3,448.1,4417,right
28,1,binary,2,2,trial,15169615.0,15176049.0,6434.0,2,R,15173249,15173483,236,559.4,619.0,4677,left
28,1,binary,2,2,trial,15169615.0,15176049.0,6434.0,2,R,15173501,15173679,180,501.6,566.7,4544,left
28,1,binary,2,2,trial,15169615.0,15176049.0,6434.0,2,R,15173689,15174119,432,510.4,531.9,4318,left
28,1,binary,2,2,trial,15169615.0,15176049.0,6434.0,2,R,15174187,15174363,178,1421.1,509.5,4012,right
28,1,binary,2,2,trial,15169615.0,15176049.0,6434.0,2,R,15174377,15174613,238,1468.4,497.1,4000,right
28,1,binary,2,2,trial,15169615.0,15176049.0,6434.0,2,R,15174757,15174781,26,1503.5,805.5,4444,NA
28,1,binary,2,2,trial,15169615.0,15176049.0,6434.0,2,R,15174789,15174863,76,1495.0,862.1,4273,NA
28,1,binary,2,2,trial,15169615.0,15176049.0,6434.0,2,R,15174909,15175059,152,1437.2,485.9,4298,right
28,1,binary,2,2,trial,15169615.0,15176049.0,6434.0,2,R,15175083,15175411,330,1459.0,415.9,4444,right
28,1,binary,2,2,trial,15169615.0,15176049.0,6434.0,2,R,15175433,15175603,172,1506.6,512.0,4375,right
