participantNo,block,task,blockTrial,response,trialStage,trialStartTime,trialFinishTime,rt,trial,eye,fixStart,fixEnd,fixLength,fixPosX,fixPosY,dilation,aoi
15,1,continuous,1,1,fixationCross,20222976.0,20224643.0,1667.0,1,L,20212670,20213102,434,734.3,664.1,4952,left
15,1,continuous,1,1,fixationCross,20222976.0,20224643.0,1667.0,1,L,20213144,20213288,146,952.0,537.4,4668,NA
15,1,continuous,1,1,fixationCross,20222976.0,20224643.0,1667.0,1,L,20213460,20213660,202,906.7,506.2,4892,NA
15,1,continuous,1,1,fixationCross,20222976.0,20224643.0,1667.0,1,L,20213682,20214082,402,937.4,537.9,5105,NA
15,1,continuous,1,1,fixationCross,20222976.0,20224643.0,1667.0,1,L,20214420,20214718,300,906.6,556.3,4877,NA
15,1,continuous,1,1,fixationCross,20222976.0,20224643.0,1667.0,1,L,20214738,20214874,138,936.9,544.9,5078,NA
15,1,continuous,1,1,fixationCross,20222976.0,20224643.0,1667.0,1,L,20215014,20215042,30,929.2,530.7,4757,NA
15,1,continuous,1,1,fixationCross,20222976.0,20224643.0,1667.0,1,L,20215190,20215238,50,965.0,540.3,4734,NA
15,1,continuous,1,1,fixationCross,20222976.0,20224643.0,1667.0,1,L,20215386,20215540,156,890.7,532.2,4960,NA
15,1,continuous,1,1,fixationCross,20222976.0,20224643.0,1667.0,1,L,20215562,20216466,906,931.3,541.3,4808,NA
15,1,continuous,1,1,fixationCross,20222976.0,20224643.0,1667.0,1,L,20216534,20216736,204,943.2,1833.4,4926,likertHorizontal
15,1,continuous,1,1,fixationCross,20222976.0,20224643.0,1667.0,1,L,20216758,20216978,222,872.3,1779.9,5094,likertHorizontal
15,1,continuous,1,1,fixationCross,20222976.0,20224643.0,1667.0,1,L,20217032,20217332,302,1520.5,1686.1,5388,NA
15,1,continuous,1,1,fixationCross,20222976.0,20224643.0,1667.0,1,L,20217660,20217852,194,1436.2,1856.0,6257,NA
15,1,continuous,1,1,fixationCross,20222976.0,20224643.0,1667.0,1,L,20218574,20218752,180,923.9,521.8,5397,NA
15,1,continuous,1,1,fixationCross,20222976.0,20224643.0,1667.0,1,L,20218766,20219016,252,943.0,561.7,5429,NA
15,1,continuous,1,1,fixationCross,20222976.0,20224643.0,1667.0,1,L,20219846,20219908,64,833.2,1921.1,6585,likertHorizontal
15,1,continuous,1,1,fixationCross,20222976.0,20224643.0,1667.0,1,L,20220156,20220316,162,886.5,482.7,5117,NA
