participantNo,block,task,blockTrial,response,trialStage,trialStartTime,trialFinishTime,rt,trial,eye,fixStart,fixEnd,fixLength,fixPosX,fixPosY,dilation,aoi
61,1,continuous,1,9,fixationCross,27258761.0,27261244.0,2483.0,1,L,27258258,27258742,486,997.9,524.0,6267,NA
61,1,continuous,1,9,trial,27258761.0,27261244.0,2483.0,1,L,27258760,27258958,200,955.1,572.1,6461,NA
61,1,continuous,1,9,trial,27258761.0,27261244.0,2483.0,1,L,27259004,27259226,224,619.6,598.2,6394,left
61,1,continuous,1,9,trial,27258761.0,27261244.0,2483.0,1,L,27259244,27259362,120,623.3,567.6,5817,left
61,1,continuous,1,9,trial,27258761.0,27261244.0,2483.0,1,L,27259422,27259604,184,1441.8,551.1,5321,right
61,1,continuous,1,9,trial,27258761.0,27261244.0,2483.0,1,L,27259618,27259782,166,1487.0,536.1,5037,right
61,1,continuous,1,9,trial,27258761.0,27261244.0,2483.0,1,L,27259834,27259988,156,980.7,989.7,4914,likertHorizontal
61,1,continuous,1,9,trial,27258761.0,27261244.0,2483.0,1,L,27260038,27260438,402,505.8,1027.6,4887,NA
61,1,continuous,1,9,trial,27258761.0,27261244.0,2483.0,1,L,27260486,27260684,200,505.5,586.2,5158,left
61,1,continuous,1,9,trial,27258761.0,27261244.0,2483.0,1,L,27260710,27260874,166,487.2,477.0,5242,left
61,1,continuous,1,9,trial,27258761.0,27261244.0,2483.0,1,L,27260886,27261402,518,480.1,452.3,5209,left
61,1,continuous,1,9,postResponse,27258761.0,27261244.0,2483.0,1,L,27261454,27261628,176,991.3,577.5,5399,NA
61,1,continuous,2,76,fixationCross,27262227.0,27265177.0,2950.0,2,L,27261728,27262158,432,990.8,586.5,5676,NA
61,1,continuous,2,76,trial,27262227.0,27265177.0,2950.0,2,L,27262168,27262378,212,967.9,568.2,6060,NA
61,1,continuous,2,76,trial,27262227.0,27265177.0,2950.0,2,L,27262426,27262570,146,660.7,499.1,6211,left
61,1,continuous,2,76,trial,27262227.0,27265177.0,2950.0,2,L,27262588,27262792,206,578.3,495.5,5767,left
61,1,continuous,2,76,trial,27262227.0,27265177.0,2950.0,2,L,27262818,27263034,218,432.1,536.7,5335,left
61,1,continuous,2,76,trial,27262227.0,27265177.0,2950.0,2,L,27263102,27263354,254,1433.4,551.0,5047,right
61,1,continuous,2,76,trial,27262227.0,27265177.0,2950.0,2,L,27263374,27263864,492,1507.5,538.6,4878,right
61,1,continuous,2,76,trial,27262227.0,27265177.0,2950.0,2,L,27263878,27264568,692,1544.1,536.5,4934,right
61,1,continuous,2,76,trial,27262227.0,27265177.0,2950.0,2,L,27264634,27264788,156,669.6,593.6,5361,left
61,1,continuous,2,76,trial,27262227.0,27265177.0,2950.0,2,L,27264850,27265068,220,1510.9,523.8,5364,right
61,1,continuous,2,76,postResponse,27262227.0,27265177.0,2950.0,2,L,27265086,27265510,426,1598.4,510.1,5178,right
61,1,continuous,3,28,fixationCross,27266394.0,27268511.0,2117.0,3,L,27265624,27266100,478,1061.6,503.6,5634,NA
61,1,continuous,3,28,trial,27266394.0,27268511.0,2117.0,3,L,27266124,27266450,328,938.1,527.6,6089,NA
61,1,continuous,3,28,trial,27266394.0,27268511.0,2117.0,3,L,27266468,27266604,138,1007.7,516.4,6259,NA
61,1,continuous,3,28,trial,27266394.0,27268511.0,2117.0,3,L,27266648,27266850,204,1387.8,508.1,5935,right
61,1,continuous,3,28,trial,27266394.0,27268511.0,2117.0,3,L,27266868,27267080,214,1461.6,520.2,5198,right
61,1,continuous,3,28,trial,27266394.0,27268511.0,2117.0,3,L,27267106,27267198,94,1462.8,663.3,4931,right
61,1,continuous,3,28,trial,27266394.0,27268511.0,2117.0,3,L,27267264,27267644,382,528.5,591.7,4885,left
61,1,continuous,3,28,trial,27266394.0,27268511.0,2117.0,3,L,27267658,27268354,698,553.6,634.9,4827,left
61,1,continuous,3,28,trial,27266394.0,27268511.0,2117.0,3,L,27268380,27268478,100,531.7,753.5,5132,NA
61,1,continuous,3,28,trial,27266394.0,27268511.0,2117.0,3,L,27268520,27268786,268,605.4,544.8,5271,left
61,1,continuous,4,79,trial,27269411.0,27272428.0,3017.0,4,L,27268924,27269560,638,953.6,502.0,5669,NA
61,1,continuous,4,79,trial,27269411.0,27272428.0,3017.0,4,L,27269604,27269924,322,622.7,517.6,5897,left
61,1,continuous,4,79,trial,27269411.0,27272428.0,3017.0,4,L,27269942,27270194,254,646.3,578.0,5435,left
61,1,continuous,4,79,trial,27269411.0,27272428.0,3017.0,4,L,27270218,27270412,196,502.0,589.6,5394,left
61,1,continuous,4,79,trial,27269411.0,27272428.0,3017.0,4,L,27270448,27270516,70,452.4,479.7,5375,left
61,1,continuous,4,79,trial,27269411.0,27272428.0,3017.0,4,L,27270584,27270764,182,1454.2,588.8,5366,right
61,1,continuous,4,79,trial,27269411.0,27272428.0,3017.0,4,L,27270784,27271146,364,1537.5,583.1,5129,right
