participantNo,block,task,blockTrial,response,trialStage,trialStartTime,trialFinishTime,rt,trial,eye,fixStart,fixEnd,fixLength,fixPosX,fixPosY,dilation,aoi
56,1,binary,1,1,fixationCross,8785938.0,8790422.0,4484.0,1,R,8785201,8785607,408,908.0,427.3,4158,NA
56,1,binary,1,1,trial,8785938.0,8790422.0,4484.0,1,R,8785643,8786193,552,950.5,541.8,4173,NA
56,1,binary,1,1,trial,8785938.0,8790422.0,4484.0,1,R,8786249,8786497,250,584.4,529.2,3997,left
56,1,binary,1,1,trial,8785938.0,8790422.0,4484.0,1,R,8786557,8787035,480,1348.1,490.1,3746,right
56,1,binary,1,1,trial,8785938.0,8790422.0,4484.0,1,R,8787109,8787351,244,474.3,493.4,3699,left
56,1,binary,1,1,trial,8785938.0,8790422.0,4484.0,1,R,8787383,8787487,106,451.3,547.1,3692,left
56,1,binary,1,1,trial,8785938.0,8790422.0,4484.0,1,R,8787535,8787755,222,451.9,976.6,3768,NA
56,1,binary,1,1,trial,8785938.0,8790422.0,4484.0,1,R,8787785,8787959,176,507.5,993.9,3866,NA
56,1,binary,1,1,trial,8785938.0,8790422.0,4484.0,1,R,8788007,8788553,548,973.4,962.2,4110,likertHorizontal
56,1,binary,1,1,trial,8785938.0,8790422.0,4484.0,1,R,8788615,8789169,556,514.3,948.7,4413,NA
56,1,binary,1,1,trial,8785938.0,8790422.0,4484.0,1,R,8789217,8789369,154,444.0,684.7,4347,left
56,1,binary,1,1,postResponse,8785938.0,8790422.0,4484.0,1,R,8789393,8790787,1396,463.4,576.0,4014,left
56,1,binary,2,2,fixationCross,8791571.0,8793738.0,2167.0,2,R,8790889,8790987,100,466.4,582.3,4180,left
56,1,binary,2,2,fixationCross,8791571.0,8793738.0,2167.0,2,R,8791189,8791261,74,764.8,485.8,4206,NA
56,1,binary,2,2,trial,8791571.0,8793738.0,2167.0,2,R,8791303,8791609,308,961.8,546.1,4277,NA
56,1,binary,2,2,trial,8791571.0,8793738.0,2167.0,2,R,8791627,8791767,142,952.9,540.1,4389,NA
56,1,binary,2,2,trial,8791571.0,8793738.0,2167.0,2,R,8791825,8791979,156,553.3,476.0,4144,left
56,1,binary,2,2,trial,8791571.0,8793738.0,2167.0,2,R,8791993,8792143,152,527.9,454.6,3950,left
56,1,binary,2,2,trial,8791571.0,8793738.0,2167.0,2,R,8792209,8792365,158,1432.5,448.8,3647,right
56,1,binary,2,2,trial,8791571.0,8793738.0,2167.0,2,R,8792387,8792693,308,1478.3,450.7,3539,right
56,1,binary,2,2,trial,8791571.0,8793738.0,2167.0,2,R,8792741,8793031,292,1477.5,607.8,3578,right
56,1,binary,2,2,trial,8791571.0,8793738.0,2167.0,2,R,8793053,8793251,200,1463.5,640.2,3564,right
56,1,binary,2,2,trial,8791571.0,8793738.0,2167.0,2,R,8793277,8793679,404,1481.1,510.5,3567,right
56,1,binary,2,2,postResponse,8791571.0,8793738.0,2167.0,2,R,8793699,8794085,388,1476.3,459.3,3663,right
56,1,binary,3,2,fixationCross,8794771.0,8796622.0,1851.0,3,R,8794159,8794273,116,1470.3,462.2,3642,right
56,1,binary,3,2,fixationCross,8794771.0,8796622.0,1851.0,3,R,8794305,8794465,162,1202.2,457.1,3704,right
56,1,binary,3,2,trial,8794771.0,8796622.0,1851.0,3,R,8794507,8795151,646,964.3,525.8,3984,NA
56,1,binary,3,2,trial,8794771.0,8796622.0,1851.0,3,R,8795193,8795489,298,1371.3,558.1,3753,right
56,1,binary,3,2,trial,8794771.0,8796622.0,1851.0,3,R,8795563,8795819,258,469.0,554.2,3680,left
56,1,binary,3,2,trial,8794771.0,8796622.0,1851.0,3,R,8795841,8795935,96,511.1,532.3,3594,left
56,1,binary,3,2,postResponse,8794771.0,8796622.0,1851.0,3,R,8795999,8796961,964,1401.5,579.9,3478,right
56,1,binary,4,2,fixationCross,8797538.0,8799988.0,2450.0,4,R,8797061,8797237,178,1393.8,582.7,3616,right
56,1,binary,4,2,fixationCross,8797538.0,8799988.0,2450.0,4,R,8797291,8797419,130,995.9,505.1,3812,NA
56,1,binary,4,2,trial,8797538.0,8799988.0,2450.0,4,R,8797449,8797893,446,949.5,529.5,4001,NA
56,1,binary,4,2,trial,8797538.0,8799988.0,2450.0,4,R,8797917,8798075,160,798.4,519.2,3939,NA
56,1,binary,4,2,trial,8797538.0,8799988.0,2450.0,4,R,8798131,8798311,182,481.0,490.3,3867,left
56,1,binary,4,2,trial,8797538.0,8799988.0,2450.0,4,R,8798331,8798565,236,450.8,485.2,3811,left
56,1,binary,4,2,trial,8797538.0,8799988.0,2450.0,4,R,8798631,8798877,248,1414.9,507.8,3564,right
56,1,binary,4,2,trial,8797538.0,8799988.0,2450.0,4,R,8798907,8799001,96,1384.1,575.8,3600,right
56,1,binary,4,2,trial,8797538.0,8799988.0,2450.0,4,R,8799077,8799219,144,412.0,507.6,3798,left
56,1,binary,4,2,trial,8797538.0,8799988.0,2450.0,4,R,8799251,8799333,84,476.8,496.6,3807,left
56,1,binary,4,2,trial,8797538.0,8799988.0,2450.0,4,R,8799397,8799679,284,1420.4,539.0,3686,right
56,1,binary,4,2,postResponse,8797538.0,8799988.0,2450.0,4,R,8799713,8800345,634,1382.4,604.8,3758,right
56,1,binary,5,1,fixationCross,8801105.0,8802855.0,1750.0,5,R,8800421,8800539,120,1314.9,507.2,3711,right
56,1,binary,5,1,fixationCross,8801105.0,8802855.0,1750.0,5,R,8800707,8800791,86,1079.0,474.0,3806,NA
56,1,binary,5,1,trial,8801105.0,8802855.0,1750.0,5,R,8800825,8801333,510,950.9,538.4,4030,NA
56,1,binary,5,1,trial,8801105.0,8802855.0,1750.0,5,R,8801383,8801787,406,1378.6,502.6,3760,right
