participantNo,block,task,blockTrial,response,trialStage,trialStartTime,trialFinishTime,rt,trial,eye,fixStart,fixEnd,fixLength,fixPosX,fixPosY,dilation,aoi
31,1,continuous,1,100,fixationCross,5094627.0,5099461.0,4834.0,1,R,5093905,5094313,410,891.6,607.2,5926,NA
31,1,continuous,1,100,fixationCross,5094627.0,5099461.0,4834.0,1,R,5094335,5094477,144,943.3,558.9,5420,NA
31,1,continuous,1,100,trial,5094627.0,5099461.0,4834.0,1,R,5094487,5094779,294,959.5,539.0,5530,NA
31,1,continuous,1,100,trial,5094627.0,5099461.0,4834.0,1,R,5094827,5095067,242,532.1,452.1,5518,left
31,1,continuous,1,100,trial,5094627.0,5099461.0,4834.0,1,R,5095089,5095199,112,510.2,538.3,5202,left
31,1,continuous,1,100,trial,5094627.0,5099461.0,4834.0,1,R,5095237,5095341,106,692.0,818.5,5122,NA
31,1,continuous,1,100,trial,5094627.0,5099461.0,4834.0,1,R,5095375,5095651,278,950.4,977.0,5130,likertHorizontal
31,1,continuous,1,100,trial,5094627.0,5099461.0,4834.0,1,R,5095679,5095801,124,1108.1,964.3,5280,likertHorizontal
31,1,continuous,1,100,trial,5094627.0,5099461.0,4834.0,1,R,5095849,5096249,402,1421.8,565.9,5253,right
31,1,continuous,1,100,trial,5094627.0,5099461.0,4834.0,1,R,5096265,5096571,308,1475.4,596.3,5126,right
31,1,continuous,1,100,trial,5094627.0,5099461.0,4834.0,1,R,5096595,5096961,368,1427.5,541.1,5096,right
31,1,continuous,1,100,trial,5094627.0,5099461.0,4834.0,1,R,5097029,5097261,234,456.8,470.6,5020,left
31,1,continuous,1,100,trial,5094627.0,5099461.0,4834.0,1,R,5097285,5097469,186,490.1,389.9,5043,left
31,1,continuous,1,100,trial,5094627.0,5099461.0,4834.0,1,R,5097535,5097889,356,1515.6,560.5,4886,right
31,1,continuous,1,100,trial,5094627.0,5099461.0,4834.0,1,R,5097911,5098093,184,1586.4,631.1,4840,right
31,1,continuous,1,100,trial,5094627.0,5099461.0,4834.0,1,R,5098137,5098397,262,1450.9,1037.9,5011,NA
31,1,continuous,1,100,trial,5094627.0,5099461.0,4834.0,1,R,5098407,5098881,476,1437.9,1064.4,5176,NA
31,1,continuous,1,100,trial,5094627.0,5099461.0,4834.0,1,R,5099123,5099149,28,1446.2,717.1,5448,right
31,1,continuous,1,100,trial,5094627.0,5099461.0,4834.0,1,R,5099169,5099305,138,1428.4,824.8,5270,NA
31,1,continuous,1,100,postResponse,5094627.0,5099461.0,4834.0,1,R,5099343,5099827,486,1273.8,629.1,5324,right
31,1,continuous,2,1,fixationCross,5100627.0,5102978.0,2351.0,2,R,5099999,5100279,282,663.4,259.8,5503,NA
31,1,continuous,2,1,fixationCross,5100627.0,5102978.0,2351.0,2,R,5100315,5100441,128,980.6,561.2,5622,NA
31,1,continuous,2,1,trial,5100627.0,5102978.0,2351.0,2,R,5100457,5100805,350,948.1,534.4,5454,NA
31,1,continuous,2,1,trial,5100627.0,5102978.0,2351.0,2,R,5100877,5101041,166,503.9,463.0,5451,left
31,1,continuous,2,1,trial,5100627.0,5102978.0,2351.0,2,R,5101055,5101305,252,526.1,502.5,5262,left
31,1,continuous,2,1,trial,5100627.0,5102978.0,2351.0,2,R,5101329,5101453,126,616.5,529.4,5149,left
