participantNo,block,task,blockTrial,response,trialStage,trialStartTime,trialFinishTime,rt,trial,eye,fixStart,fixEnd,fixLength,fixPosX,fixPosY,dilation,aoi
47,1,continuous,1,50,fixationCross,2084453.0,2087403.0,2950.0,1,L,2074023,2074295,274,1051.5,872.4,5991,likertHorizontal
47,1,continuous,1,50,fixationCross,2084453.0,2087403.0,2950.0,1,L,2074343,2074463,122,824.0,670.5,6074,NA
47,1,continuous,1,50,fixationCross,2084453.0,2087403.0,2950.0,1,L,2074491,2074655,166,919.8,571.3,6062,NA
47,1,continuous,1,50,trial,2084453.0,2087403.0,2950.0,1,L,2074665,2084935,10272,933.9,543.2,6006,NA
47,1,continuous,1,50,trial,2084453.0,2087403.0,2950.0,1,L,2084975,2085281,308,1282.7,535.2,4498,right
47,1,continuous,1,50,trial,2084453.0,2087403.0,2950.0,1,L,2085297,2085445,150,1339.9,529.7,4397,right
47,1,continuous,1,50,trial,2084453.0,2087403.0,2950.0,1,L,2085461,2085637,178,1402.4,538.8,4386,right
47,1,continuous,1,50,trial,2084453.0,2087403.0,2950.0,1,L,2085691,2085859,170,760.7,434.4,4398,NA
47,1,continuous,1,50,trial,2084453.0,2087403.0,2950.0,1,L,2085879,2086113,236,659.3,440.5,4424,left
47,1,continuous,1,50,trial,2084453.0,2087403.0,2950.0,1,L,2086123,2086331,210,627.8,443.3,4422,left
47,1,continuous,1,50,trial,2084453.0,2087403.0,2950.0,1,L,2086397,2086919,524,1436.0,550.9,4373,right
47,1,continuous,1,50,trial,2084453.0,2087403.0,2950.0,1,L,2086989,2087177,190,578.1,471.4,4360,left
47,1,continuous,1,50,postResponse,2084453.0,2087403.0,2950.0,1,L,2087193,2087767,576,624.6,452.4,4331,left
47,1,continuous,2,48,fixationCross,2098136.0,2102403.0,4267.0,2,L,2087841,2088195,356,979.5,685.1,5022,NA
47,1,continuous,2,48,fixationCross,2098136.0,2102403.0,4267.0,2,L,2088221,2090029,1810,962.0,555.6,5583,NA
47,1,continuous,2,48,fixationCross,2098136.0,2102403.0,4267.0,2,L,2090043,2090199,158,982.3,569.8,5675,NA
47,1,continuous,2,48,fixationCross,2098136.0,2102403.0,4267.0,2,L,2090209,2094235,4028,965.1,541.4,5698,NA
47,1,continuous,2,48,fixationCross,2098136.0,2102403.0,4267.0,2,L,2094247,2094733,488,983.6,536.0,5751,NA
47,1,continuous,2,48,trial,2098136.0,2102403.0,4267.0,2,L,2094743,2100351,5610,967.1,535.8,5532,NA
47,1,continuous,2,48,trial,2098136.0,2102403.0,4267.0,2,L,2100371,2100833,464,911.3,531.7,5227,NA
47,1,continuous,2,48,trial,2098136.0,2102403.0,4267.0,2,L,2100875,2101183,310,1245.8,510.4,5396,right
47,1,continuous,2,48,trial,2098136.0,2102403.0,4267.0,2,L,2101235,2101371,138,991.1,928.5,5266,likertHorizontal
47,1,continuous,2,48,trial,2098136.0,2102403.0,4267.0,2,L,2101397,2101697,302,929.6,981.8,5225,likertHorizontal
47,1,continuous,2,48,trial,2098136.0,2102403.0,4267.0,2,L,2101745,2102203,460,1404.2,601.4,5117,right
47,1,continuous,2,48,postResponse,2098136.0,2102403.0,4267.0,2,L,2102239,2102771,534,1209.0,567.6,5333,right
47,1,continuous,3,72,fixationCross,2113170.0,2116887.0,3717.0,3,L,2102873,2103209,338,1011.6,606.6,5708,NA
