participantNo,block,task,blockTrial,response,trialStage,trialStartTime,trialFinishTime,rt,trial,eye,fixStart,fixEnd,fixLength,fixPosX,fixPosY,dilation,aoi
2,1,binary,1,1,fixationCross,4334788.0,4337438.0,2650.0,1,R,4334492,4334750,260,942.6,846.6,4084,likertHorizontal
2,1,binary,1,1,trial,4334788.0,4337438.0,2650.0,1,R,4334944,4335026,84,965.3,544.4,4114,NA
2,1,binary,1,1,trial,4334788.0,4337438.0,2650.0,1,R,4335130,4335224,96,1329.6,506.2,4157,right
2,1,binary,1,1,trial,4334788.0,4337438.0,2650.0,1,R,4335286,4335390,106,636.4,918.5,3987,NA
2,1,binary,1,1,trial,4334788.0,4337438.0,2650.0,1,R,4335414,4335642,230,468.7,968.6,3774,NA
2,1,binary,1,1,trial,4334788.0,4337438.0,2650.0,1,R,4335710,4335868,160,1476.8,955.3,3739,NA
2,1,binary,1,1,trial,4334788.0,4337438.0,2650.0,1,R,4335888,4335994,108,1437.1,998.6,3723,NA
2,1,binary,1,1,trial,4334788.0,4337438.0,2650.0,1,R,4336050,4336214,166,1458.4,537.3,3841,right
2,1,binary,1,1,trial,4334788.0,4337438.0,2650.0,1,R,4336282,4336796,516,523.2,570.9,3612,left
2,1,binary,1,1,trial,4334788.0,4337438.0,2650.0,1,R,4336832,4336944,114,488.9,920.0,3407,NA
2,1,binary,1,1,trial,4334788.0,4337438.0,2650.0,1,R,4336960,4337296,338,485.3,959.9,3448,NA
2,1,binary,1,1,trial,4334788.0,4337438.0,2650.0,1,R,4337308,4337692,386,501.5,980.1,3516,NA
2,1,binary,1,1,postResponse,4334788.0,4337438.0,2650.0,1,R,4337762,4337798,38,929.2,539.8,3514,NA
2,1,binary,2,2,trial,4338171.0,4340638.0,2467.0,2,R,4337898,4338328,432,934.6,539.9,3672,NA
2,1,binary,2,2,trial,4338171.0,4340638.0,2467.0,2,R,4338380,4338682,304,1383.8,604.4,3689,right
2,1,binary,2,2,trial,4338171.0,4340638.0,2467.0,2,R,4338750,4339030,282,477.2,562.2,3345,left
2,1,binary,2,2,trial,4338171.0,4340638.0,2467.0,2,R,4339048,4339216,170,535.8,593.8,3218,left
2,1,binary,2,2,trial,4338171.0,4340638.0,2467.0,2,R,4339280,4339770,492,1424.5,593.4,3343,right
2,1,binary,2,2,trial,4338171.0,4340638.0,2467.0,2,R,4339796,4340200,406,1598.4,530.7,3378,right
2,1,binary,2,2,trial,4338171.0,4340638.0,2467.0,2,R,4340250,4340522,274,1435.5,1021.3,3436,NA
2,1,binary,2,2,trial,4338171.0,4340638.0,2467.0,2,R,4340566,4340926,362,1392.4,588.6,3575,right
2,1,binary,3,1,trial,4341372.0,4344689.0,3317.0,3,R,4341084,4341536,454,1064.4,522.6,3731,NA
2,1,binary,3,1,trial,4341372.0,4344689.0,3317.0,3,R,4341580,4341760,182,1428.5,549.4,3896,right
