participantNo,block,task,blockTrial,response,trialStage,trialStartTime,trialFinishTime,rt,trial,eye,fixStart,fixEnd,fixLength,fixPosX,fixPosY,dilation,aoi
63,1,continuous,1,79,fixationCross,5250640.0,5258007.0,7367.0,1,L,5249791,5249955,166,945.0,527.6,4629,NA
63,1,continuous,1,79,fixationCross,5250640.0,5258007.0,7367.0,1,L,5249981,5250301,322,914.0,399.1,4718,NA
63,1,continuous,1,79,trial,5250640.0,5258007.0,7367.0,1,L,5250329,5250849,522,970.3,547.2,4731,NA
63,1,continuous,1,79,trial,5250640.0,5258007.0,7367.0,1,L,5250905,5251091,188,516.8,587.2,4748,left
63,1,continuous,1,79,trial,5250640.0,5258007.0,7367.0,1,L,5251115,5251309,196,500.1,480.5,4498,left
63,1,continuous,1,79,trial,5250640.0,5258007.0,7367.0,1,L,5251381,5251573,194,1437.5,573.4,4219,right
63,1,continuous,1,79,trial,5250640.0,5258007.0,7367.0,1,L,5251591,5251985,396,1494.2,566.5,4392,right
63,1,continuous,1,79,trial,5250640.0,5258007.0,7367.0,1,L,5252057,5252223,168,521.0,494.4,4547,left
63,1,continuous,1,79,trial,5250640.0,5258007.0,7367.0,1,L,5252241,5252475,236,488.7,460.1,4541,left
63,1,continuous,1,79,trial,5250640.0,5258007.0,7367.0,1,L,5252485,5252707,224,487.3,439.5,4463,left
63,1,continuous,1,79,trial,5250640.0,5258007.0,7367.0,1,L,5252771,5252909,140,974.0,945.3,4443,likertHorizontal
63,1,continuous,1,79,trial,5250640.0,5258007.0,7367.0,1,L,5252929,5253091,164,957.9,977.5,4474,likertHorizontal
63,1,continuous,1,79,trial,5250640.0,5258007.0,7367.0,1,L,5253149,5253465,318,1494.9,575.2,4318,right
63,1,continuous,1,79,trial,5250640.0,5258007.0,7367.0,1,L,5253535,5253931,398,584.8,554.3,4696,left
63,1,continuous,1,79,trial,5250640.0,5258007.0,7367.0,1,L,5253957,5254355,400,497.2,486.6,4695,left
63,1,continuous,1,79,trial,5250640.0,5258007.0,7367.0,1,L,5254367,5255019,654,491.5,459.1,4604,left
63,1,continuous,1,79,trial,5250640.0,5258007.0,7367.0,1,L,5255047,5255397,352,572.2,550.1,4631,left
63,1,continuous,1,79,trial,5250640.0,5258007.0,7367.0,1,L,5255419,5255571,154,501.4,477.9,4595,left
63,1,continuous,1,79,trial,5250640.0,5258007.0,7367.0,1,L,5255579,5255769,192,488.4,459.6,4559,left
63,1,continuous,1,79,trial,5250640.0,5258007.0,7367.0,1,L,5255779,5255917,140,498.5,444.9,4525,left
63,1,continuous,1,79,trial,5250640.0,5258007.0,7367.0,1,L,5255991,5256187,198,1461.6,564.5,4331,right
63,1,continuous,1,79,trial,5250640.0,5258007.0,7367.0,1,L,5256201,5256743,544,1494.6,552.2,4299,right
63,1,continuous,1,79,trial,5250640.0,5258007.0,7367.0,1,L,5256801,5256997,198,1066.4,850.9,4423,likertHorizontal
63,1,continuous,1,79,trial,5250640.0,5258007.0,7367.0,1,L,5257033,5257333,302,1237.4,968.0,4589,NA
63,1,continuous,1,79,trial,5250640.0,5258007.0,7367.0,1,L,5257357,5257575,220,1176.5,841.2,4683,likertHorizontal
63,1,continuous,1,79,trial,5250640.0,5258007.0,7367.0,1,L,5257603,5257805,204,1220.4,966.2,4629,NA
63,1,continuous,1,79,trial,5250640.0,5258007.0,7367.0,1,L,5257837,5258015,180,1394.9,985.6,4814,NA
63,1,continuous,1,79,postResponse,5250640.0,5258007.0,7367.0,1,L,5258057,5258373,318,1213.8,732.4,4716,NA
63,1,continuous,2,16,fixationCross,5259157.0,5264307.0,5150.0,2,L,5258473,5258833,362,874.8,683.2,5002,NA
63,1,continuous,2,16,trial,5259157.0,5264307.0,5150.0,2,L,5258861,5259415,556,966.6,542.9,4877,NA
63,1,continuous,2,16,trial,5259157.0,5264307.0,5150.0,2,L,5259465,5259701,238,456.7,584.6,4659,left
63,1,continuous,2,16,trial,5259157.0,5264307.0,5150.0,2,L,5259721,5259863,144,471.0,655.8,4455,left
63,1,continuous,2,16,trial,5259157.0,5264307.0,5150.0,2,L,5259937,5260447,512,1478.9,506.2,4083,right
63,1,continuous,2,16,trial,5259157.0,5264307.0,5150.0,2,L,5260473,5260769,298,1489.6,618.8,4149,right
63,1,continuous,2,16,trial,5259157.0,5264307.0,5150.0,2,L,5260843,5261023,182,515.9,670.4,4319,left
63,1,continuous,2,16,trial,5259157.0,5264307.0,5150.0,2,L,5261041,5261363,324,480.1,684.3,4215,left
63,1,continuous,2,16,trial,5259157.0,5264307.0,5150.0,2,L,5261415,5261603,190,963.6,972.6,4024,likertHorizontal
63,1,continuous,2,16,trial,5259157.0,5264307.0,5150.0,2,L,5261659,5261891,234,1494.0,534.2,3888,right
63,1,continuous,2,16,trial,5259157.0,5264307.0,5150.0,2,L,5261907,5262263,358,1496.4,495.3,4061,right
63,1,continuous,2,16,trial,5259157.0,5264307.0,5150.0,2,L,5262295,5262733,440,1498.9,642.5,4193,right
63,1,continuous,2,16,trial,5259157.0,5264307.0,5150.0,2,L,5262755,5263067,314,1346.5,617.9,4262,right
63,1,continuous,2,16,trial,5259157.0,5264307.0,5150.0,2,L,5263137,5263657,522,688.6,921.5,4589,NA
63,1,continuous,2,16,trial,5259157.0,5264307.0,5150.0,2,L,5263693,5263863,172,739.4,745.6,4516,likertHorizontal
63,1,continuous,2,16,trial,5259157.0,5264307.0,5150.0,2,L,5263901,5264251,352,623.2,990.1,4673,NA
63,1,continuous,2,16,postResponse,5259157.0,5264307.0,5150.0,2,L,5264293,5264655,364,725.9,755.4,4532,NA
63,1,continuous,3,1,fixationCross,5265490.0,5267441.0,1951.0,3,L,5264757,5265059,304,721.3,758.9,4705,NA
