participantNo,block,task,blockTrial,response,trialStage,trialStartTime,trialFinishTime,rt,trial,eye,fixStart,fixEnd,fixLength,fixPosX,fixPosY,dilation,aoi
17,1,continuous,1,26,fixationCross,3695948.0,3712749.0,16801.0,1,R,3695274,3695458,186,935.5,876.6,5530,likertHorizontal
17,1,continuous,1,26,fixationCross,3695948.0,3712749.0,16801.0,1,R,3695514,3695734,222,898.2,456.7,5589,NA
17,1,continuous,1,26,trial,3695948.0,3712749.0,16801.0,1,R,3695768,3695950,184,970.2,575.5,5595,NA
17,1,continuous,1,26,trial,3695948.0,3712749.0,16801.0,1,R,3695968,3696234,268,958.7,538.7,5564,NA
17,1,continuous,1,26,trial,3695948.0,3712749.0,16801.0,1,R,3696304,3696800,498,457.7,1016.9,5667,NA
17,1,continuous,1,26,trial,3695948.0,3712749.0,16801.0,1,R,3696848,3697018,172,416.0,512.0,5623,left
17,1,continuous,1,26,trial,3695948.0,3712749.0,16801.0,1,R,3697052,3697554,504,534.6,559.1,5541,left
17,1,continuous,1,26,trial,3695948.0,3712749.0,16801.0,1,R,3697622,3697832,212,1364.0,535.3,5138,right
17,1,continuous,1,26,trial,3695948.0,3712749.0,16801.0,1,R,3698006,3698344,340,1451.8,522.4,5193,right
17,1,continuous,1,26,trial,3695948.0,3712749.0,16801.0,1,R,3698418,3698552,136,704.4,850.2,5283,NA
17,1,continuous,1,26,trial,3695948.0,3712749.0,16801.0,1,R,3698592,3698734,144,608.0,1020.7,5336,NA
17,1,continuous,1,26,trial,3695948.0,3712749.0,16801.0,1,R,3698802,3698982,182,1389.4,1050.3,5446,NA
17,1,continuous,1,26,trial,3695948.0,3712749.0,16801.0,1,R,3699012,3699632,622,1423.9,1085.3,5580,NA
17,1,continuous,1,26,trial,3695948.0,3712749.0,16801.0,1,R,3699818,3700100,284,1473.4,521.2,5634,right
17,1,continuous,1,26,trial,3695948.0,3712749.0,16801.0,1,R,3700186,3700364,180,533.1,584.5,5463,left
17,1,continuous,1,26,trial,3695948.0,3712749.0,16801.0,1,R,3700386,3700614,230,543.9,562.1,5216,left
17,1,continuous,1,26,trial,3695948.0,3712749.0,16801.0,1,R,3700682,3700878,198,448.9,1066.0,5105,NA
17,1,continuous,1,26,trial,3695948.0,3712749.0,16801.0,1,R,3700900,3701120,222,483.4,1042.7,5157,NA
17,1,continuous,1,26,trial,3695948.0,3712749.0,16801.0,1,R,3701180,3701352,174,402.6,520.2,5229,left
17,1,continuous,1,26,trial,3695948.0,3712749.0,16801.0,1,R,3701388,3701550,164,551.6,556.3,5333,left
17,1,continuous,1,26,trial,3695948.0,3712749.0,16801.0,1,R,3701570,3701758,190,535.3,552.8,5343,left
17,1,continuous,1,26,trial,3695948.0,3712749.0,16801.0,1,R,3701916,3702646,732,532.7,551.8,5339,left
17,1,continuous,1,26,trial,3695948.0,3712749.0,16801.0,1,R,3702718,3703138,422,1427.4,524.2,5122,right
17,1,continuous,1,26,trial,3695948.0,3712749.0,16801.0,1,R,3703164,3703826,664,1315.7,543.2,5331,right
17,1,continuous,1,26,trial,3695948.0,3712749.0,16801.0,1,R,3703846,3704036,192,1291.8,535.2,5637,right
17,1,continuous,1,26,trial,3695948.0,3712749.0,16801.0,1,R,3704106,3704226,122,650.7,999.3,5926,NA
17,1,continuous,1,26,trial,3695948.0,3712749.0,16801.0,1,R,3704268,3704450,184,519.1,985.7,5872,NA
17,1,continuous,1,26,trial,3695948.0,3712749.0,16801.0,1,R,3704584,3704742,160,463.7,506.6,5584,left
17,1,continuous,1,26,trial,3695948.0,3712749.0,16801.0,1,R,3704776,3705326,552,545.9,555.7,5441,left
17,1,continuous,1,26,trial,3695948.0,3712749.0,16801.0,1,R,3705398,3705828,432,1471.7,572.5,5073,right
17,1,continuous,1,26,trial,3695948.0,3712749.0,16801.0,1,R,3705854,3706118,266,1328.8,514.2,5069,right
17,1,continuous,1,26,trial,3695948.0,3712749.0,16801.0,1,R,3706300,3706650,352,517.7,573.4,5232,left
17,1,continuous,1,26,trial,3695948.0,3712749.0,16801.0,1,R,3706672,3707570,900,532.1,551.6,5300,left
17,1,continuous,1,26,trial,3695948.0,3712749.0,16801.0,1,R,3707902,3707988,88,411.0,468.9,5231,left
17,1,continuous,1,26,trial,3695948.0,3712749.0,16801.0,1,R,3708014,3708132,120,528.6,516.9,5399,left
17,1,continuous,1,26,trial,3695948.0,3712749.0,16801.0,1,R,3708370,3708396,28,807.8,66.9,3093,NA
17,1,continuous,1,26,trial,3695948.0,3712749.0,16801.0,1,R,3708448,3708652,206,533.4,535.1,5507,left
17,1,continuous,1,26,trial,3695948.0,3712749.0,16801.0,1,R,3708788,3709440,654,545.9,545.0,5595,left
17,1,continuous,1,26,trial,3695948.0,3712749.0,16801.0,1,R,3709512,3709908,398,1359.3,564.6,5272,right
17,1,continuous,1,26,trial,3695948.0,3712749.0,16801.0,1,R,3709986,3710124,140,623.3,932.7,5654,NA
17,1,continuous,1,26,trial,3695948.0,3712749.0,16801.0,1,R,3710156,3710404,250,728.5,990.7,5738,NA
17,1,continuous,1,26,trial,3695948.0,3712749.0,16801.0,1,R,3710454,3710698,246,535.4,598.1,5617,left
17,1,continuous,1,26,trial,3695948.0,3712749.0,16801.0,1,R,3710722,3710882,162,543.3,511.5,5606,left
17,1,continuous,1,26,trial,3695948.0,3712749.0,16801.0,1,R,3710898,3710968,72,537.7,544.8,5648,left
17,1,continuous,1,26,trial,3695948.0,3712749.0,16801.0,1,R,3711114,3712258,1146,539.0,551.7,5510,left
17,1,continuous,1,26,trial,3695948.0,3712749.0,16801.0,1,R,3712324,3712484,162,681.0,1012.0,5510,NA
17,1,continuous,1,26,trial,3695948.0,3712749.0,16801.0,1,R,3712514,3713008,496,655.1,1009.0,5581,NA
17,1,continuous,1,26,postResponse,3695948.0,3712749.0,16801.0,1,R,3713072,3713116,46,714.9,322.6,5574,NA
17,1,continuous,2,25,fixationCross,3713848.0,3720965.0,7117.0,2,R,3713216,3713336,122,719.5,326.4,5570,NA
17,1,continuous,2,25,fixationCross,3713848.0,3720965.0,7117.0,2,R,3713366,3713542,178,779.7,431.5,5353,NA
17,1,continuous,2,25,fixationCross,3713848.0,3720965.0,7117.0,2,R,3713572,3713744,174,940.5,522.6,5193,NA
17,1,continuous,2,25,trial,3713848.0,3720965.0,7117.0,2,R,3713762,3713906,146,964.7,541.3,5250,NA
17,1,continuous,2,25,trial,3713848.0,3720965.0,7117.0,2,R,3714042,3714302,262,757.4,515.6,5375,NA
17,1,continuous,2,25,trial,3713848.0,3720965.0,7117.0,2,R,3714364,3714536,174,1415.8,482.3,5206,right
17,1,continuous,2,25,trial,3713848.0,3720965.0,7117.0,2,R,3714550,3715136,588,1394.0,477.4,5092,right
17,1,continuous,2,25,trial,3713848.0,3720965.0,7117.0,2,R,3715212,3715524,314,476.9,497.1,5163,left
17,1,continuous,2,25,trial,3713848.0,3720965.0,7117.0,2,R,3715552,3716484,934,472.0,638.6,5157,left
17,1,continuous,2,25,trial,3713848.0,3720965.0,7117.0,2,R,3716554,3716704,152,607.3,1047.3,5432,NA
