participantNo,block,task,blockTrial,response,trialStage,trialStartTime,trialFinishTime,rt,trial,eye,fixStart,fixEnd,fixLength,fixPosX,fixPosY,dilation,aoi
64,1,binary,1,1,fixationCross,9989576.0,9993142.0,3566.0,1,R,9988845,9988973,130,971.9,489.2,5184,NA
64,1,binary,1,1,fixationCross,9989576.0,9993142.0,3566.0,1,R,9988999,9989251,254,900.2,449.9,5108,NA
64,1,binary,1,1,trial,9989576.0,9993142.0,3566.0,1,R,9989291,9989747,458,979.1,572.1,5224,NA
64,1,binary,1,1,trial,9989576.0,9993142.0,3566.0,1,R,9989811,9989983,174,551.2,530.0,5439,left
64,1,binary,1,1,trial,9989576.0,9993142.0,3566.0,1,R,9990043,9990169,128,476.4,972.7,5244,NA
64,1,binary,1,1,trial,9989576.0,9993142.0,3566.0,1,R,9990203,9990429,228,512.7,1033.2,5097,NA
64,1,binary,1,1,trial,9989576.0,9993142.0,3566.0,1,R,9990519,9990691,174,1513.3,997.8,4951,NA
64,1,binary,1,1,trial,9989576.0,9993142.0,3566.0,1,R,9990755,9991037,284,1446.4,600.1,5058,right
64,1,binary,1,1,trial,9989576.0,9993142.0,3566.0,1,R,9991119,9991263,146,560.6,589.3,5442,left
64,1,binary,1,1,trial,9989576.0,9993142.0,3566.0,1,R,9991289,9991575,288,531.8,495.5,5376,left
64,1,binary,1,1,trial,9989576.0,9993142.0,3566.0,1,R,9991665,9992139,476,1470.1,577.1,4634,right
64,1,binary,1,1,trial,9989576.0,9993142.0,3566.0,1,R,9992163,9992281,120,1357.9,547.1,4792,right
64,1,binary,1,1,trial,9989576.0,9993142.0,3566.0,1,R,9992361,9992777,418,560.6,483.9,4882,left
64,1,binary,1,1,trial,9989576.0,9993142.0,3566.0,1,R,9992807,9992907,102,499.4,463.3,4628,left
64,1,binary,1,1,trial,9989576.0,9993142.0,3566.0,1,R,9992995,9993403,410,1437.8,568.3,4481,right
64,1,binary,2,2,fixationCross,9994259.0,9995859.0,1600.0,2,R,9993607,9993671,66,637.9,573.6,4976,left
64,1,binary,2,2,fixationCross,9994259.0,9995859.0,1600.0,2,R,9993733,9993939,208,1068.6,597.9,4968,NA
64,1,binary,2,2,fixationCross,9994259.0,9995859.0,1600.0,2,R,9993973,9994223,252,945.6,543.3,5071,NA
64,1,binary,2,2,trial,9994259.0,9995859.0,1600.0,2,R,9994245,9994417,174,971.0,529.9,5218,NA
