participantNo,block,task,blockTrial,response,trialStage,trialStartTime,trialFinishTime,rt,trial,eye,fixStart,fixEnd,fixLength,fixPosX,fixPosY,dilation,aoi
26,1,binary,1,2,fixationCross,9868279.0,9869580.0,1301.0,1,L,9857991,9858285,296,934.2,580.2,8018,NA
26,1,binary,1,2,fixationCross,9868279.0,9869580.0,1301.0,1,L,9858377,9859065,690,942.8,542.8,8058,NA
26,1,binary,1,2,fixationCross,9868279.0,9869580.0,1301.0,1,L,9859237,9859987,752,949.2,557.5,7670,NA
26,1,binary,1,2,fixationCross,9868279.0,9869580.0,1301.0,1,L,9860163,9860283,122,949.7,555.8,7209,NA
26,1,binary,1,2,fixationCross,9868279.0,9869580.0,1301.0,1,L,9860441,9861529,1090,943.1,568.6,7153,NA
26,1,binary,1,2,fixationCross,9868279.0,9869580.0,1301.0,1,L,9861667,9862323,658,948.7,551.9,7383,NA
26,1,binary,1,2,fixationCross,9868279.0,9869580.0,1301.0,1,L,9862453,9862769,318,942.4,537.7,7646,NA
26,1,binary,1,2,fixationCross,9868279.0,9869580.0,1301.0,1,L,9862927,9863833,908,953.4,549.5,7467,NA
26,1,binary,1,2,fixationCross,9868279.0,9869580.0,1301.0,1,L,9863995,9866255,2262,955.2,554.7,7420,NA
26,1,binary,1,2,fixationCross,9868279.0,9869580.0,1301.0,1,L,9866419,9867261,844,941.3,542.8,7598,NA
26,1,binary,1,2,fixationCross,9868279.0,9869580.0,1301.0,1,L,9867443,9867671,230,945.5,549.7,7727,NA
26,1,binary,1,2,fixationCross,9868279.0,9869580.0,1301.0,1,L,9867815,9868113,300,1256.7,555.1,7855,right
26,1,binary,1,2,trial,9868279.0,9869580.0,1301.0,1,L,9868157,9868439,284,948.2,555.1,7789,NA
26,1,binary,1,2,trial,9868279.0,9869580.0,1301.0,1,L,9868495,9868605,112,570.4,550.8,7404,left
26,1,binary,1,2,trial,9868279.0,9869580.0,1301.0,1,L,9868667,9868795,130,486.8,932.4,7276,NA
26,1,binary,1,2,trial,9868279.0,9869580.0,1301.0,1,L,9868877,9868947,72,1440.4,749.4,7126,NA
26,1,binary,1,2,trial,9868279.0,9869580.0,1301.0,1,L,9868991,9869283,294,1406.4,438.1,6918,right
26,1,binary,1,2,trial,9868279.0,9869580.0,1301.0,1,L,9869349,9869825,478,1432.2,930.1,7617,NA
26,1,binary,1,2,postResponse,9868279.0,9869580.0,1301.0,1,L,9869909,9869947,40,939.0,555.3,7931,NA
26,1,binary,2,2,fixationCross,9880313.0,9886080.0,5767.0,2,L,9870047,9870325,280,942.8,552.7,8061,NA
26,1,binary,2,2,fixationCross,9880313.0,9886080.0,5767.0,2,L,9870443,9870535,94,963.8,491.6,8012,NA
26,1,binary,2,2,fixationCross,9880313.0,9886080.0,5767.0,2,L,9870551,9870983,434,954.5,537.9,7833,NA
26,1,binary,2,2,fixationCross,9880313.0,9886080.0,5767.0,2,L,9871153,9871571,420,955.5,534.9,7419,NA
26,1,binary,2,2,fixationCross,9880313.0,9886080.0,5767.0,2,L,9871751,9872009,260,952.2,542.1,7301,NA
26,1,binary,2,2,fixationCross,9880313.0,9886080.0,5767.0,2,L,9872061,9872431,372,1373.5,534.8,7249,right
26,1,binary,2,2,fixationCross,9880313.0,9886080.0,5767.0,2,L,9872481,9872613,134,980.3,539.6,7234,NA
26,1,binary,2,2,fixationCross,9880313.0,9886080.0,5767.0,2,L,9872623,9872851,230,950.8,546.8,7123,NA
26,1,binary,2,2,fixationCross,9880313.0,9886080.0,5767.0,2,L,9872875,9873091,218,818.0,558.7,7164,NA
